d_vendor_name,total
SC2 0 STEPPED CARE SOLUTIONS,64597190.3
SWITCH HEALTH HOLDINGS,64518477.76
CLICK NETWORKS,64443811.19
LEONARDO,64343284.29
FCA CANADA,64305763.45
XEROX,64298770.09
GLAXOSMITHKLINE,63469244.42
REDACTED,63047897.02
WAZANA CLOTHING,62951295.28
SIMEX DEFENCE,62162720.96
AMERESCO CANADA,61982744.74
ERNST YOUNG,61410273.14
IPSS,61388281.5
PURELOGIC,60046065.27
THE BOEING COMPANY,59689206.01
APPLIED ELECTONICS,58050368.66
BELL TEXTRON,57657023.42
ADRM TECHNOLOGY CONSULTING,57137514.77
PROCOM CONSULTANTS,56548383.86
INKSMITH,56529832
VALCOM CONSULTING,56188101.02
FLEETWAY,56014010.71
GREEN TIMBERS PARTNERSHIP,55484344.42
SAS INSTITUTE,55176792.75
SQUAMISH INDIAN BAND,54982211.42
HEDDLE MARINE SERVICES,54744462.06
UNISYS CANADA,54224043.46
ESBE SCIENTIFIC INDUSTRIES,54116834.52
GRAYBRIDGE INTERNATIONAL CONSULTING,53949162.06
FRASER RIVER PILE DREDGE GP O,53478072.07
WHITE BEAR INDUSTRIES,53334848.7
WINMAR CANADA INTERNATIONAL,53100000
PROMAXIS,52929881.68
ESRI,52882045.49
BMC SOFTWARE CANADA,52668403.27
COWATERSOGEMA,52630759.47
BIO NUCLEAR DIAGNOSTICS,52262887.48
LIFE TECHNOLOGIES,51781011.95
THERMO FISHER SCIENTIFIC,51744863.33
G4S SECURITY SERVICES,51590143.39
BIRD CONSTRUCTION COMPANY,51048031.39
CONSTRUCTION LFG,50952448.1
MCELHANNEY ASSOCIATES,50776020.91
PETERS CONSTRUCTION,50756224.95
WAJAX,50002523.53
ELLISDON CIVIL CHANT LTD,49915289.49
MOMENTUM SOLUTIONS,49887401.66
FUJITSU,49518052.62
RJG CONSTRUCTION,49163160.18
ADVANCED BUSINESS INTERIORS,49155620.14
SELEX,49151466.36
UNITED STATES DEPARTMENT OF THE ARMY,48829491.02
ROUDEL MEDICAL AND SURGICAL,48540881.83
CEGERCO,48412915.23
SOFTCHOICE,48392489.33
"NAV CANADA",48321565.36
PRIMED MEDICAL PRODUCTS,47675313.68
LUMINA IT,47200169.14
PURESPIRIT SOLUTIONS,46875430.14
BOLESS,46809547.99
SANTE MONTFORT,46366212.75
DEXTERRA,46014635.15
MCNALLY CONSTRUCTION,46005741.64
TALIGENT CONSULTING,45897921.38
LIONBRIDGE,44920309.93
STERLING FUELS,44884212.12
PROTAK CONSULTING GROUP,44820099.32
BARGREEN ELLINGSON,44562787.23
SIERRA SYSTEMS GROUP,44392143.37
MAGELLAN AEROSPACE,44374550.32
IT NET CONSULTANTS,43958513.93
"NASITTUQ",43936706.36
HAMEL CONSTRUCTION,43912400.4
HITACHI DATA SYSTEMS,43868624.41
DRAGAGE OCEAN DSM,43807667.9
SLR CONSULTING CANADA,43652899.43
LOUIS W BRAY CONSTRUCTION,43607625.14
DEW ENGINEERING,43568107.01
CONSTRUCTION DEMATHIEU BARD,43495092.78
STRYKER CANADA,42847410.7
BMT FLEET TECHNOLOGY,42654859.43
GDI SERVICES,42394692.04
PALADIN GROUP,42247881.77
CORBEL MANAGEMENT,41662450.72
CARAHSOFT TECHNOLOGY,41302217.51
DYNABOOK CANADA,41239098.35
VERREAULT NAVIGATION,41190114.77
DECAREL,41113410
JONELJIM CONCRETE CONSTRUCTION,40983592.83
EIFFAGE INNOVATIVE CANADA,40771811.94
QMR,40764645.54
"NATO SEASPARROW SURFACE MISSILE SYSTEM PROJECT",40536159.41
EMS TECHNOLOGIES,40454390.2
RAYMOND CHABOT GRANT THORNTON,40370942.07
UTILITIES KINGSTON,40193417.19
GEORGE COUREY,39864016.99
GC STRATEGIES,39460099.56
ELBIT SYSTEMS EW AND SIGINT ELISRA,39459788.81
ROCHE DIAGNOSTICS,39449120.13
EBC,39151301.77
MLS OVERSEAS,38636915.56
KINETIC CONSTRUCTION,38257418.43
ARCHITECTURE 49,37710656.61
FELIX TECHNOLOGY,37577494.8
NORTHROP GRUMMAN,37521799.13
BDO CANADA,37455783.21
INDUSTRA CONSTRUCTION,37424406.17
GRAHAM CONSTRUCTION,37335759.91
BRIDGES OF CANADA,37297239.52
MICRO FOCUS CANADA,36926053.81
GROUPE GEYSER,36912129.98
CANADIAN MARITIME ENGINEERING,36765205.12
INDUSTRIES OCEAN,36725663.59
SANI SABLE LB,36644926.03
GREENFIELD CONSTRUCTION,36598963.96
SCANSA CONSTRUCTION,36363294.03
JOSEPH ELIE,36053855.75
SOUCY INTERNATIONAL,35997444.39
KUDLIK CONSTRUCTION,35996888.02
CANADIAN RED CROSS,35982033.13
LES ENTREPRISES P E C,35919911.96
CBCI TELECOM,35912535.49
DATA COMMUNICATIONS MANAGEMENT,35877166.03
COMBAT NETWORKS,35454049.38
SMITHS DETECTION,35225183.76
MTS ALLSTREAM,34605963.12
TETRA TECH,34494126.19
METRO PAVING AND ROAD BUILDING,34433149.13
MGIS,34313171.23
METRO LOGISTICS,34201215.65
TRM TECHNOLOGIES,33941769.09
IMPERIAL CLEANERS,33798541.9
WOOLLY MAMMOTH OUTERWEAR,33625034.35
KONGSBERG,33462186.17
PENN CONSTRUCTION CANADA,33368719.08
TOYOTA CANADA,33335667.42
ALLIED SHIPBUILDERS,33314743.54
MAXIM 2000,33099306.28
ARCHITECTURE EVOQ,33019634.33
MICHAEL WAGER CONSULTING,32861471.49
JANKEL TACTICAL SYSTEMS,32419474.46
NUNA EAST,32324560.56
BOMBARDIER,32269659.44
SOLOTECH,32233777.57
NORR,32002868.78
BIOMERIEUX CANADA,31607058.26
GARDA CANADA SECURITY,31131937.09
DILLON CONSULTING,30960463.11
ATWILL MORIN,30948432.16
AGRITEAM CANADA,30893739
ENMAX ENERGY,30669846.41
ENTREPRISE DE CONSTRUCTION T E Q,30593881.84
PACIFIC SAFETY PRODUCTS,30538078.54
ULTRA ELECTRONICS,30422383.43
TRANSWEST AIR,30333476.47
CANADIAN BUREAU FOR INTERNATIONAL EDUCATION,30277808.49
ADOBE,30196803.25
AGILENT,30097151.52
JOHNSON S CONSTRUCTION,29912561.65
ROSCOE CONSTRUCTION,29822912.31
SANEXEN SERVICES ENVIRONMENTAUX,29800597.56
WOODWARD S OIL,29559462.61
BRONTE CONSTRUCTION PORT DALHOUSIE REHABILITATION TRUST ACCOUNT,29222553.39
BRONSWERK MARINE,29197465.68
EMCON SERVICES,28891671
SOUTHWEST RESEARCH INSTITUTE,28637561.35
AMAN BUILDERS,28279274.17
TERVITA,28267778.11
CHANTIER NAVAL FORILLON,28009975.67
QUINAN CONSTRUCTION,28000805.51
WILCO CONTRACTORS SOUTHWEST,27973258.92
J STERLING INDUSTRIES,27792616.91
J 1 CONTRACTING,27712610.73
SIEMENS,27426958.47
MARINE RECYCLING,27369371.62
BUTTCON EAST,27284027.74
J W LINDSAY ENTERPRISES,27262098.99
DALIAN ENTERPRISES,27194445.21
TORONTO STAMP,27177969
AVI SPL CANADA,26989267.33
CONSTRUCTION CYBCO,26829367.92
LEC ENGINEERING CONTRACTING,26704487.43
CON PRO INDUSTRIES CANADA,26484114.52
PENNANT CANADA,26455955.06
JOSEPH RIBKOFF,26324893.09
SOMOS,26042427.4
DRS TECHNOLOGIES CANADA,26029481.24
BUREAU VERITAS CANADA,26005709.39
CIMA,25922861.84
ZODIAC HURRICANE TECHNOLOGIES,25844131.95
AVONDALE CONSTRUCTION,25579059.79
EBSCO CANADA,25576414.62
VECTOR AEROSPACE,25572201.03
ARCADIS CANADA,25547630.72
GARLOCK OF CANADA OPERATING AS FAIRBANKS MORSE ENGINE,25494954.33
WORLD UNIVERSITY SERVICE OF CANADA,25483250.56
TRANSPOLAR TECHNOLOGY,25409339.96
KNAPPETT INDUSTRIES,25387282.67
TOTEM OFFISOURCE,25241779.07
MISHKUMI TECHNOLOGIES,25024413.9
MAXXAM ANALYTICS,24640905.96
FRANNAN INTERNATIONAL,24605794.84
851791 NWT,24586186.91
DAWSON CONSTRUCTION,24571475.86
METOCEAN TELEMATICS,24516024.12
QM JJM CONTRACTING J V,24445299.88
BLUMETRIC ENVIRONMENTAL,24397395.13
LS TELCOM,24236938.22
SITE ENERGY SERVICES,23904367.18
EXXONMOBIL,23829570.17
TITAN AEX,23703814.38
CITRIX,23624690.64
SYSTEMSCOPE,23617836.35
MCKINSEY AND COMPANY,23573460.92
THE MASHA KRUPP TRANSLATION GROUP,23570932.08
INTEGRA NETWORKS,23433190.93
MACKINNON AND OLDING,23400689.77
PEERLESS GARMENTS,23251055.27
HAZELWOOD CONSTRUCTION SERVICES,23193946.65
UNISOURCE,23071264.67
CYMI CANADA,23012723.22
BAYSHORE HEALTHCARE,22929023.24
QUOREX CONSTRUCTION SERVICES,22803493.09
LLOYD S REGISTER CANADA,22757670.69
GENESIS INTEGRATION,22638893.68
PENNECON,22635536.74
WOOD CANADA,22501696.03
DRS SUSTAINMENT SYSTEMS DRS SSI,22351797.44
UNIVERSITY OF TORONTO,22250322.73
LANGUAGE RESEARCH DEVELOPMENT GROUP,22208773.66
BONDFIELD CONSTRUCTION COMPANY,22143129
ZUTPHEN CONTRACTOR,22136612
WRIGHT CONSTRUCTION WESTERN,22043134.09
UBIQUS CANADA,21943755.35
FVB ENERGY,21794975.39
INTEROUTE CONSTRUCTION,21758360.32
MAXIMUS CANADA,21742856.13
ST DENIS THOMPSON,21574184.31
PANASONIC,21473117.7
BLACKBERRY,21362020.81
MOORE CANADA,21344675.5
GARDA SECURITY GROUP,21272261.12
DIAMOND AND SCHMITT ARCHITECTS,21186497.74
WATERS,21185499.65
SUNCOR ENERGY,21167584.39
EMERGENT BIOSOLUTIONS,21150690.13
2220742 ONTARIO,21138438.63
REPARATIONS NAVALES ET INDUSTRIELLES OCEAN,21044151.19
GREY ROCK SERVICES,20960106.86
APRON FUEL SERVICES,20885186.78
INTER OUTAOUAIS,20837421.78
R E GILMORE INVESTMENTS,20804286.7
LAURENTIAN TECHNOLOGIES,20802364.35
SASKTEL,20774962.66
D F S,20759727.91
ORANGUTECH,20694752.07
GUNTER LANGKOPF MASCHINENBAU,20675966.34
NEWFOUND RECRUITING,20595463.83
ENTRUST,20546441.35
BEAVER AIR CHARTER CONSULTANTS,20542454.28
ENVIROSAFE JANITORIAL,20247277.79
MAXSYS STAFFING AND CONSULTING,20233420.9
DNR CONSULTING GROUP,20223331.6
THE RIGHT DOOR CONSULTING,20158129.53
NEPTEC DESIGN GROUP,19936827.57
CANON,19930021.35
KENN BOREK AIR,19927263.08
PRIMEX PROJECT MANAGEMENT,19861384.42
QUAD PRO CONSTRUCTION,19826461.49
MILLER PAVING,19805059.44
COWI NORTH AMERICA,19767187.86
EMIL ANDERSON CONSTRUCTION EAC IN,19722916.84
TRAINOR MECHANICAL CONTRACTORS,19695953.7
HARRIS TRANSPORT,19695855.19
ALMIQ CONTRACTING,19646749.68
AMEC FOSTER WHEELER AMERICAS,19470354.54
ILLUMINA CANADA,19448503.09
JOWA FAHRZEUGTEILE VERTRIEBS,19268111.18
BARRIE MACKAY CONTRACTING,19096043.53
AERO FEU,19079492.36
MEDTRONIC CANADA,18847687.87
FEDERAL EXPRESS CANADA,18808847.27
SECUREKEY TECHNOLOGIES,18780588.53
M D CHARLTON,18659373.17
IIC TECHNOLOGIES,18646533.61
CONEXSYS,18637798.18
MATCON ENVIRONMENTAL,18552123.41
CO VEN,18542735
COADY CONSTRUCTION EXCAVATING,18522036.38
SPRINGER VERLAG,18509355.05
NORTH AMERICA CONSTRUCTION,18500205.61
NORTHWESTEL,18393825.73
NORTAC DEFENCE,18354620.34
AEG FUELS,18207178.9
MUSTANG SURVIVAL,18131978.96
UNIVERSITY OF WATERLOO,18125681.37
SEQIRUS CANADA,18115652.64
TESTFORCE SYSTEMS,18064671.2
ALLIANT TECHSYSTEMS OPERATIONS,18003693.68
APPAREL TRIMMINGS,17943663.05
"NATIONS TRANSLATION GROUP",17892545.12
COMMVAULT SYSTEMS,17795986.39
PERCEPTICS,17754828.78
STANFIELDS,17639063.76
HOSKIN SCIENTIFIC,17631412.83
WILDSTONE CONSTRUCTION,17630030.95
BRIQUETAL,17584486.19
CALKO GROUP,17514455.97
HAWBOLDT INDUSTRIES,17508621.97
EAGLE PROFESSIONAL RESOURCES,17487144.27
TITANIUM CONSTRUCTION,17238361.35
OPSIS,17192704.81
MID VALLEY CONSTRUCTION,17175457.7
ANCHOR QEA,17064323.88
DE ANGELIS CONSTRUCTION,17062961.15
ELSEVIER,17033604.61
MAXIM CONSTRUCTION,17018378.93
ALVA CONSTRUCTION,16824156.04
FLOYD S CONSTRUCTION,16818286.94
LEVITT SAFETY,16815265.71
GLOBAL UPHOLSTERY,16813167.09
HEMMERA ENVIROCHEM,16810135.75
PRECISIONIT,16709017.24
TRANSCONTINENTAL PRINTING,16698083.34
AV TECH,16692872.13
KRAUSS MAFFEI WEGMANN,16548536.2
PACIFIC INDUSTRIAL MARINE,16504704.47
MAN ENERGY SOLUTIONS CANADA,16460538.82
CONSTRUCTION DERIC,16420015.16
DIRECT ENERGY BUSINESS,16412543.37
CUMMINS CANADA,16360615.29
E D BRUNET ET ASSOCIES CANADA,16340718.23
NISSAN CANADA,16269334.88
BERVIN CONSTRUCTION,16186097.81
ZYCOM,16161024.84
SOLUDOC,16126890.55
QUEEN S UNIVERSITY,16123199.83
CANADIAN LEASEBACK,16060337.86
MACONNERIE DYNAMIQUE,16005859.12
ARDENT GLOBAL,15924435.88
AEG,15902397.36
THE HALIFAX COMPUTER CONSULTING GROUP,15892732.71
EMPOWERED NETWORKS,15878019.86
VVI CONSTRUCTION,15870160.02
TURNER TOWNSEND,15744672.79
RAMPART INTERNATIONAL,15680806.19
PRONEX EXCAVATION,15653114.44
BAE SYSTEMS,15583619.37
MINISTRY OF FINANCE,15537434.71
GROUPE ENERGIE BDL,15451232.13
SUTHERLAND EXCAVATING,15435655.93
AIRBORNE SYSTEMS,15414086.57
EXCAVATION RENE ST PIERRE ENG,15408013.94
PALFINGER MARINE,15405097.72
VANCOUVER DRYDOCK COMPANY,15375975.72
DCL CONSTRUCTION SERVICES,15366373.65
FIRST PEOPLES INFRA,15363059.81
SIMPLEX GRINNELL,15308811.67
AMAZON,15296494.84
RGT CLOUTHIER CONSTRUCTION,15292104.17
PATLON AIRCRAFT INDUSTRIES,15264179.87
GREAT SLAVE HELICOPTERS,15228085.7
ADP CANADA COMPAGNIE ADP CANADA,15199085.84
CWP CONSTRUCTORS,15152580.79
CANADIAN VETERANS VR SERVICE,15132933.66
OEI KRUEGER,15120775.84
SIMEX DEFENCE DEFENSE SIMEX INC,15063639.98
"NATIONAL TEST PILOT SCHOOL",15030705.93
OPTIV CANADA FEDERAL,14995681.55
CANADA POST,14889631.06
CAN AM PLATFORMS CONSTRUCTION,14889190.2
BLUE WATER SYSTEM,14876382
TSUU T INA CONTRACTING GP,14859000
THOMSON REUTERS,14818678.95
ARTEX SPORTSWEAR,14783787.98
CONTRACT COMMUNITY,14752452.81
SUPREMEX,14711857.69
REPUBLIC ARCHITECTURE,14642175.28
PRINTERS PLUS,14601517.3
9006 9311 QUEBEC,14499226.03
UNIVERSITY OF OTTAWA,14465954.04
STRONG BROS GENERAL CONTRACTING,14453540.17
R J MACISAAC CONSTRUCTION,14443414.43
IBI GROUP ARCHITECTS CANADA,14422243.59
ASBEX,14400554.16
MDOS CONSULTING,14390833.44
VAN KAPPEL INTERNATIONAL,14359449.03
CARLETON UNIVERSITY,14330473.16
NORTH ATLANTIC PETROLEUM,14231701.32
SECURIGUARD SERVICES,14212873.22
MNP,14211086.46
ALLIED PAVING,14131530.63
SILLIKER JR LABORATORIES,14069570.77
CANAM PONTS CANADA,14003627.12
ASOKAN BUSINESS INTERIORS,13999770.55
B R ENTERPRISES,13984378.42
SOCIETE EMMANUEL GREGOIRE,13964725.93
ARTEMP PERSONNEL SERVICES,13957459.2
CLOSEREACH,13942276.72
MCW CUSTOM ENERGY SOLUTIONS,13935812.97
HFI PYROTECHNICS,13909232.49
M SULLIVAN SON,13855948.62
GEOSPECTRUM TECHNOLOGIES,13824367.5
MASKIMO CONSTRUCTION,13799622.85
AQUA LUNG CANADA,13743854.61
SED SYSTEMS,13731445.71
9090 5092 QUEBEC,13713766.32
MORIYAMA TESHIMA ARCHITECTS,13701119.74
"NAVPOINT CONSULTING GROUP",13545242.02
DEPARTMENT OF DEFENCE,13515311.98
DELCO AUTOMATION,13491324.88
NORTRAX CANADA,13451509.34
LYNLEY CONTRACTING SERVICES,13421519.39
MERCK FROSST,13346179.23
AVJET HOLDING,13325898.53
TYCO INTEGRATED FIRE SECURITY,13299459.75
CCR CONSTRUCTION,13292253
BAXTER,13287491
AEREX AVIONICS,13284218.49
I4C INFORMATION TECHNOLOGY,13267236.53
HOULE ELECTRIC,13233760.13
GENERAL ELECTRIC CANADA,13203155.92
ST LEONARDS PLACE PEEL,13194646.97
KING HOE EXCAVATING,13119738.62
CONSTRUCTION BUGERE,13116231.26
CRANDALL ENGINEERING,13046318.88
CANADIAN BASE OPERATORS,13040859.74
GRIFFIN ENGINEERED SYSTEMS,13005999.44
NOTRA,12909206.44
MASONTECH,12893751.02
R R INTERNATIONAL TRANSLATION,12871647.35
BANCTEC CANADA,12864310.54
MARINE CONTRACTORS,12849979.34
DSS MARINE,12828787.69
KANTER MARINE,12816060.28
MEGA TECH,12789327.74
CONSTRUCTION COTE FILS,12774043.03
AMEX BANK OF CANADA,12737594.15
BROADNET TELECOM,12729984.69
WORKDYNAMICS TECHNOLOGIES,12708100.47
ARUP CANADA,12654205.53
NOVA SCOTIA POWER,12612925.77
JEMTEC,12593181.04
CELEB CONSTRUCTION,12548471.14
GLASSHOUSE SYSTEMS,12511598.71
DEFENCE CONSTRUCTION CANADA,12492510.52
KANIYASIHK CULTURE CAMPS,12489977.65
GESTION AJ,12481570.56
PRECISION ADM,12474475
ARI FINANCIAL SERVICES,12440734.17
CONSTRUCTION J R SAVARD,12427658.49
LES TRADUCTIONS TESSIER,12394351.73
DST CONSULTING ENGINEERS,12392120.76
JIM PATTISON INDUSTRIES,12384406.63
A HUNDRED ANSWERS,12376293.19
MCKNIGHT ENTERPRISES,12363892.52
DRAEGER CANADA,12356464.08
E CONSTRUCTION,12355257.82
LESLIE BENN CONTRACTING,12344298.01
ACKLANDS GRAINGER,12252817.62
JOHNSON CONTROLS CANADA,12210939.4
MADSEN DIESEL TURBINE,12196724.91
LES CONSTRUCTIONS BINET,12137485.83
SERVICE STAR BUILDING CLEANING,12119402.39
"NADINE INTERNATIONAL",12106492.05
CHANDOS CONSTRUCTION,12106210.39
EMMANUEL CONSTRUCTION SERVICES,12096058.41
FN HERSTAL,12047466.24
INTEGRATED DISTRIBUTION SYSTEMS,12029059.23
K C E CONSTRUCTION,12014480.28
MORNEAU SHEPELL,11977848.92
POINT HOPE MARITIME,11973198.17
PROOF EXPERIENCES,11969476.5
RENK AKTIENGECELLSCHAFT,11958613.01
PYLON ELECTRONICS,11917079.27
C CORE,11873180.77
529040 ONTARIO AND 880382,11852932.46
BLUEWAVE ENERGY,11831737.92
UNIVERSITY OF CALGARY,11828151.22
TACS,11801440.48
THE VCAN GROUP,11801381.16
GROUPE ONSCOPE,11795592.1
AON REED STENHOUSE,11773614.25
7305516 CANADA,11767509.85
"NAUT MAWT TRIBAL COUNCIL",11713804.05
MOBILE VALVE,11691015.16
SUBARU CANADA,11660828.71
HEAVY METAL MARINE,11635960.21
PERSISTENT SYSTEMS,11627076.24
CRUICKSHANK CONSTRUCTION,11620539.13
PAVEX,11578043.88
JHT DEFENSE,11558685.91
ALS CANADA,11522737.98
ACCESS 2 NETWORKS,11521670.14
ROXBORO EXCAVATION,11505549.94
GATESTONE,11505518.07
ECOLE DE LANGUES LA CITE,11489053.33
MACEWEN PETROLEUM,11471429.4
WORLD UNIVERSITY CONSORTIUM,11444546.8
SHARP ELECTRONICS,11438025.64
KMS INDUSTRIES,11378056.07
TORONTO INDUSTRIES,11368805.96
DF BARNES SERVICES,11359531.49
EUROVIA QUEBEC CONSTRUCTION,11336051.21
BRETON MICHEL MD,11329795.48
JASTRAM ENGINEERING,11329481.46
CYTELLIGENCE,11300000
GRAND TOY,11266458.33
"NAVAMAR",11261671.05
ACT,11243672.98
ST LEONARD S COMMUNITY SERVICES,11221756.81
INDIVIOR UK,11220652.96
PRAGMATIC CONFERENCING,11214291.81
UVAIR,11167885.78
EVEREST CONSTRUCTION MANAGEMENT,11110757.11
MITSUBISHI MOTOR SALES,11090374.88
ST LEONARD S SOCIETY HAMILTON,11029553.87
MAKWA RESOURCING,11005616.32
VERITAS TECHNOLOGIES,11002879.94
KEYSTONE SUPPLIES INTERNATIONAL,10978803.51
HAWORTH,10967963.19
LES HUILES DESROCHES,10955315.08
WILD STONE ENGINEERING,10951014.73
TTC GP AND NOTRA INC JOINT VENTURE,10890664.68
KEYSTONE ENVIRONMENTAL,10872291.69
LES INSTALLATIONS ELECTRIQUES,10845786.82
GATEWAY MECHANICAL SERVICES,10832835.23
AIR INUIT,10819003.02
JASCO APPLIED SCIENCES CANADA,10814982.44
MIKE KELLY SONS,10769065.34
POLARIS INDUSTRIES,10762774.19
REACTOR ENGINEERING GROUP,10689319.15
NITAM SOLUTIONS,10673804.32
ST GELAIS MONTMINY ASSOCIES,10661058.54
PROSCI CANADA,10640532.5
NORTH COUNTRY MAINTENANCE,10633946.1
IFATHOM,10617405.65
ACME FUTURE SECURITY CONTROLS,10606459.13
HITRAC,10586992.81
MED ENG HOLDINGS,10576969.09
