d_vendor_name,mean_original_value,mean_overall_value,n
ATLANTIC ROOFERS,122412.83,123429.91,42
ATLANTIC TOWING,25000.00,25000.00,2
ATLANTICA MECHANICAL CONTRACTORS,413010.18,412935.47,10
AV TECH,115035.80,115035.80,7
AVI SPL CANADA,62124.92,62124.92,74
AVJET HOLDING,27833.92,27837.88,281
AVONDALE CONSTRUCTION,388719.34,388952.61,14
AXYS TECHNOLOGIES,18300.81,15587.70,4
B BRAUN OF CANADA,123170.00,427140.00,2
BABCOCK INTERNATIONAL GROUP,27388680.97,47983798.36,26
BAE SYSTEMS,291564.83,294935.63,89
BAJA CONSTRUCTION CANADA,266250.00,261000.00,3
BARGREEN ELLINGSON,67948.96,71946.03,230
BARRON S REFRIGERATION HEATING,67621.99,68741.45,95
BAVARIAN NORDIC,1842103.00,25000.00,1
BDO CANADA,100452.34,98757.34,8
BECKMAN COULTER CANADA,35160.75,35160.75,1
BELAND LAPOINTE,39177126.00,39177126.00,1
BELL CANADA,490307.77,558005.02,72
BELL TEXTRON,205478753.93,205478753.93,7
BEST FACILITIES SERVICES,13712295.00,13712295.00,1
BEST SERVICE PROS,127580.67,127293.37,111
BGLA,105161.21,105161.21,1
BIGHORN CONSTRUCTION,305398.61,310213.74,6
BIRD CONSTRUCTION COMPANY,7352827.33,7352827.33,3
BLACK MCDONALD,306601.00,306861.70,139
BLACKBERRY,108427.05,112066.46,7
BLUE WATER SYSTEM,14876382.00,14876382.00,1
BLUEDOT,497200.00,497200.00,1
BLUEDROP TRAINING SIMULATION,2347728.69,2355551.01,3
BLUEWAVE ENERGY,51331.49,44030.84,167
BLUMETRIC ENVIRONMENTAL,750497.42,1283857.42,25
BMC SOFTWARE CANADA,31956.34,31956.34,5
BMT FLEET TECHNOLOGY,8950865.96,9020295.11,11
BOMBARDIER,12352199.61,14077975.31,11
BOMIMED,210745.00,187241.00,1
BONDFIELD CONSTRUCTION COMPANY,30636000.00,30636000.00,1
BOUTHILLETTE PARIZEAU,56883.98,57568.77,17
BRANDT TRACTOR,292620.81,292620.81,16
BRIQUETAL,3838500.00,3838500.00,2
BRONSWERK MARINE,1321980.56,1201602.70,48
BROOKFIELD ASSET MANAGEMENT,100428750.00,100428750.00,1
BROOKFIELD GLOBAL INTEGRATED SOLUTIONS,86192.45,85912.98,4
BRS INNOVATIONS,90841.42,90841.42,6
BRUKER,347378.02,347378.02,7
BUREAU VERITAS,137812.54,138963.71,24
C CORE,515797.63,502664.20,27
CACHE COMPUTER CONSULTING,267453.35,281593.33,11
CADEX,632648.08,537490.19,19
CAE,21246327.35,31752395.34,35
CALIAN,2371956.03,3115470.22,400
CAMPBELL SCIENTIFIC CANADA,72367.93,72367.93,5
CAN AM PLATFORMS CONSTRUCTION,10250478.00,10250478.00,1
CANADA POST,38317.63,38317.63,6
CANADENSYS AEROSPACE,458873.68,458873.68,3
CANADIAN BANK NOTE COMPANY,201394.25,1589502.07,1
CANADIAN BASE OPERATORS,189377.33,191063.34,117
CANADIAN BORDER OPERATIONS,157070000.00,225730259.41,1
CANADIAN CORPS OF COMMISSIONAIRES,184137.47,185409.66,895
CANADIAN DEVELOPMENT CONSULTANTS,241146.00,933052.32,1
CANADIAN HELICOPTERS,255668.18,1292252.13,7
CANADIAN MARITIME ENGINEERING,258497.31,252500.44,24
CANADIAN NORTH,128495.38,125240.35,4
CANADIAN NUCLEAR LABORATORIES,2858485.67,2868279.00,3
CANADIAN RED CROSS,354176.00,354176.00,2
CANADIAN STANDARDS ASSOCIATION,20272.10,20272.10,4
CANADYNE TECHNOLOGIES,75738.28,75738.28,16
CANON,23972.85,23972.85,132
CANSEL SURVEY EQUIPMENT,134463.60,134458.62,21
CANTEC SYSTEMS,269055.68,267784.20,28
CARAHSOFT TECHNOLOGY,40842.15,43140.52,8
CARLETON LIFE SUPPORT SYSTEMS,750933.14,750931.88,10
CARLETON UNIVERSITY,592749.33,643868.38,21
CARMICHAEL ENGINEERING,163197.63,411675.28,13
CARO ANALYTICAL SERVICES,16182.00,16182.00,1
CASCADE AEROSPACE,233718076.72,390175567.67,4
CASP AEROSPACE,1916139.53,3690180.40,7
CBCI TELECOM,68453.00,73382.73,37
CBCL,104716.91,105625.80,18
CDW CANADA,206561.87,217070.65,184
CEGERCO,46877517.00,46877517.00,1
CGI,486479.92,524647.94,3
CH2M HILL CANADA,18900.00,18900.00,1
CHANNEL MANAGEMENT INTERNATIONAL,249965.84,610707.75,10
CHANTIER DAVIE CANADA,574875000.00,574875000.00,1
CHARRON HUMAN RESOURCES,21006.05,21140.23,16
CHEF BRANDZ,28968.89,28968.89,115
CHEVRON,229581.29,229581.29,20
CHUBB EDWARDS,16306.71,20712.90,6
CIMA,24993.00,24993.00,1
CISION CANADA,33207.52,41526.57,5
CISTEL TECHNOLOGY,245986.88,245986.88,1
CITRIX,42330.40,42330.40,3
CLARIANT CANADA,45363.32,45407.74,101
CLERMARK,373620.76,534482.33,17
CLICK NETWORKS,126291.97,130270.75,11
CLOSEREACH,199385.61,272592.87,17
CO VEN,10806190.00,14443095.00,1
COASTAL RESTORATION MASONRY,34156.57,34967.24,59
COCO PAVING,1628636.81,1644703.29,5
COFELY SERVICES,13395495.00,13395495.00,1
COFOMO,2059788.75,2059788.75,3
COLLIERS PROJECT LEADERS,145531.46,233784.28,12
COLT CANADA,1881760.87,1882090.32,113
COLUMBIA FUELS,18485.70,18485.70,17
COMBAT NETWORKS,113711.25,116350.94,13
COMMERCIAL BUILDING CLEANING,3250868.68,3250868.68,4
COMMVAULT SYSTEMS,33096.19,92686.71,2
COMPUCOM CANADA,732178.24,732134.41,42
COMPUGEN,55716.82,61052.49,34
CON PRO INDUSTRIES CANADA,1312864.56,1402176.59,2
CONCEPT CONTROLS,124794.62,147493.96,37
CONEXSYS,41974.62,41974.62,3
CONNEX TELECOMMUNICATIONS,50109.12,52175.41,2
CONOSCENTI TECHNOLOGIES,366638.49,765263.78,4
CONSTRUCTION COTE FILS,3961957.33,3961957.33,3
CONSTRUCTION COUTURE TANGUAY,1170864.25,1170864.25,4
CONSTRUCTION JESSIKO,290025.65,361891.72,8
CONTRACT COMMUNITY,178367.14,259576.81,29
CONVERGINT TECHNOLOGIES,85901.44,98411.05,9
COPCAN CIVIL,903580.33,1246255.74,3
CORADIX TECHNOLOGY CONSULTING,3174890.61,4324709.98,18
COREBUILD CONSTRUCTION,52549536.00,52549536.00,1
CORPORATION DU FORT ST JEAN,35605545.21,147258813.43,3
COSSETTE COMMUNICATIONS,278787.10,278787.10,17
CRANDALL ENGINEERING,27805.62,27805.62,1
CRESTLINE COACH,4258789.05,5040484.95,1
CRYPTOMILL TECHNOLOGIES,4968237.10,4968237.10,1
CSDC SYSTEMS,16077.70,16077.70,2
CTOMS,15190.85,15190.85,5
CUBIC DEFENSE APPLICATIONS,111076550.94,119127473.21,4
CULLEN DIESEL POWER,62385.39,62385.39,4
CUMMINS CANADA,341835.69,341839.24,25
D DOYLE INSTALLATIONS,15688.99,15688.99,3
DADS,303580.74,304377.67,203
DAIMLER,163282.98,163282.98,69
DALHOUSIE UNIVERSITY,454735.78,459579.53,16
DALIAN ENTERPRISES,328871.15,357797.40,7
DASCO EQUIPMENT,72585.09,72585.09,6
DATA COMMUNICATIONS MANAGEMENT,18306.37,18306.37,2
DAVTAIR INDUSTRIES,531783.30,567415.62,14
DBC MARINE SAFETY SYSTEMS,672318.88,672318.88,5
DECAREL,41113410.00,41113410.00,1
DECISIVE GROUP,347686.15,348186.08,181
DEFENCE CONSTRUCTION CANADA,434071.18,447054.37,29
DEFENSE INFORMATION SYSTEMS AGENCY,3538816.50,3637096.00,2
DELCO AUTOMATION,52979.82,52829.35,8
DELL COMPUTER,108463.35,108506.85,106
DELOITTE,461297.84,605995.17,32
DEW ENGINEERING,2054862.15,1315014.38,66
DEXTER CONSTRUCTION,1529324.20,1529475.67,62
DEXTERRA,423495.10,457256.24,131
DILIGENS,70238.51,70238.51,7
DILLON CONSULTING,78113.00,90082.49,41
DIRECT ENERGY,2751513.37,2355965.68,9
DIRECT ENERGY BUSINESS,729836.36,747375.25,40
DLS TECHNOLOGY,282066.72,282066.72,3
DNR CONSULTING GROUP,105713.25,105713.25,10
DON SAYWELL DEVELOPMENTS,63250.98,63115.36,129
DONNA CONA,82342.13,100730.26,33
DRAEGER,903999.60,903999.60,10
DSS MARINE,51193.07,51193.07,10
DST CONSULTING ENGINEERS,75334.13,83388.96,24
DWP SOLUTIONS,3798150.50,11356229.45,2
DYMECH ENGINEERING,5688420.00,5688420.00,1
DYNABOOK CANADA,877532.35,1022161.32,15
DYNACARE,1034756.17,1034756.17,2
DYNAMIC FACILITY SERVICES,1791105.13,1791105.13,4
DYNAMIC PERSONNEL CONSULTANTS,74020.82,86351.62,51
E CONSTRUCTION,33530.20,33530.20,29
EAGLE PROFESSIONAL RESOURCES,278169.28,348949.65,1
EASTPOINT ENGINEERING,101526.49,114934.51,101
EASTWAY CONTRACTING,314964.43,313663.06,32
EBC,166725148.00,166725148.00,1
EBSCO CANADA,165704.04,172150.25,73
ECLIPSYS SOLUTIONS,173289.58,176213.24,77
ECOLE DE LANGUES ABCE,14452.58,17319.85,13
ECOLE DE LANGUES LA CITE,24136.97,25732.13,120
ECOPIA TECH,585236.08,585236.08,2
ELBIT SYSTEMS,5631985.80,6501774.64,10
ELLISDON,9883449.90,10148022.01,6
ELSEVIER,398316.11,398316.11,6
EMCON SERVICES,445202.90,527882.73,31
EMERGENCY MEDICAL TECHNOLOGY,4618563.00,7781660.92,1
EMERGENT BIOSOLUTIONS,2479750.42,4039999.09,5
EMMANUEL CONSTRUCTION SERVICES,632244.00,632244.00,1
EMMONS MITCHELL CONSTRUCTION,1769927.01,1980593.66,13
EMPOWERED NETWORKS,72463.73,79140.04,17
EMS TECHNOLOGIES,2022316.50,3046729.96,2
EMTEC,16300.00,16300.00,2
ENGLOBE,99198.81,100711.73,113
ENMAX,885995.67,964491.15,65
ENTREPRISE DE CONSTRUCTION T E Q,20518800.00,20518800.00,1
ENTRUST,108632.89,145635.42,4
ENVIRONICS RESEARCH GROUP,118744.74,118744.74,2
ENVIROSAFE JANITORIAL,327740.76,318782.50,61
ERNST YOUNG,594277.72,741246.71,39
ESRI,174977.40,175516.47,159
EUROVIA QUEBEC CONSTRUCTION,126728.56,126728.56,1
EVALUATION PERSONNEL SELECTION,24860.00,24860.00,1
EVOLVECOMP CONSTRUCTION,1028301.85,1159106.25,9
EVRIPOS JANITORIAL SERVICES,2929303.00,5418967.52,1
EXCEL 7,6365010.00,6365010.00,2
EXCEL HUMAN RESOURCES,223226.43,329863.98,158
EXP SERVICES,36599.11,39078.61,16
EXXONMOBIL,36055.75,36065.69,1028
F M INSTALLATIONS,3601000.00,3781641.18,2
FACTIVA,78800.53,78800.53,4
FARMER CONSTRUCTION,31799.88,32094.62,188
FAST FORWARD FRENCH,16609.10,17359.52,29
FAST TRACK STAFFING,98310.00,98310.00,1
FCA CANADA,87873.28,87866.41,180
FEDERAL FLEET SERVICES,620865000.00,691560000.00,1
FELIX TECHNOLOGY,107828.51,121188.83,142
FFG,7658666.37,10149912.14,25
FIDELITY ENGINEERING CONSTRUCTION,508343.09,508343.09,6
FINNING INTERNATIONAL,208182.22,208182.22,2
FLEETWAY,15114288.51,30804503.22,10
FLIGHT FUELS,108052.84,108052.84,57
FLIGHTSAFETY CANADA,2042606.76,2042606.76,4
FLYNN CANADA,1055744.86,1055744.86,5
FMC PROFESSIONALS,148908.66,221102.43,9
FN HERSTAL,698622.49,724580.22,17
FORD MOTOR COMPANY,125811.46,125810.21,517
FORRESTER RESEARCH,102509.04,97856.01,2
FORT GARRY FIRE TRUCK,881144.16,1116597.73,11
FRANCIS CANADA TRUCK CENTRE,1145793.58,1145793.58,5
FRECON CONSTRUCTION,276806.49,298671.15,15
FREQUENTIS CANADA,700245.59,772178.52,6
FRESENIUS KABI CANADA,336905.60,336905.60,2
FSC,31490.46,31490.46,1
GAB INDUSPAC,22800.00,22810.30,236
GAMBLE TECHNOLOGIES,186390.62,197048.50,14
GAP WIRELESS,79912.87,74231.40,71
GARTNER,258163.25,271584.09,118
GATEWAY MECHANICAL SERVICES,17205.65,17593.33,26
GC STRATEGIES,112774.21,762245.57,3
GDI SERVICES,599288.39,702849.32,56
GEMTEC,123059.71,123228.93,27
GEN MEC ACL,8803620.00,8803620.00,1
GENERAL DYNAMICS,22923327.44,26567914.67,276
GENERAL ELECTRIC CANADA,3087320.04,7900808.54,26
GENERAL MOTORS,97317.77,97512.37,297
GENESIS INTEGRATION,55362.08,55129.86,72
GENTEX INTERNATIONAL,394658.89,394658.89,15
GEORGE COUREY,17510.04,17510.04,8
GEOSPECTRUM TECHNOLOGIES,1242090.60,1221124.41,12
GETINGE CANADA,102299.08,102299.08,2
GFL ENVIRONMENTAL,79717.89,112325.56,62
GHD,17828.04,17828.04,3
GILMORE REPRODUCTIONS,86418.00,86403.14,4
GLOBAL KNOWLEDGE,41959.67,45109.27,107
GLOBAL TOTAL OFFICE,19141.30,19141.30,9
GLOBAL UPHOLSTERY,22463.92,22464.04,200
GOLDER ASSOCIATES,169563.57,229610.79,57
GORDON BARR,1440565.51,1448818.77,8
GOSS GILROY,73331.35,73331.35,2
GRAND TOY,18440.53,18434.81,176
GRAYBRIDGE INTERNATIONAL CONSULTING,28905.30,35287.05,47
GREAT SLAVE HELICOPTERS,219700.95,219700.95,1
GREATER TORONTO AIRPORT AUTHORITY,31621.92,31621.92,1
GREENDALE RESOURCES,560720.00,560720.00,2
GRIFFIN ENGINEERED SYSTEMS,212866.75,212866.75,4
GROUPE ENERGIE BDL,103916.10,105933.34,12
GROUPE GEYSER,15693200.00,15693200.00,3
GROUPE ROBERT,13452.08,13452.08,1
GUNTER LANGKOPF MASCHINENBAU,628268.04,622433.65,50
H H CONSTRUCTION,181419.07,187600.85,53
HARNOIS ENERGIES,52423.01,52393.38,517
HARRIS TRANSPORT,152351.21,158559.39,133
HATCH,106439.55,106439.55,3
HAWBOLDT INDUSTRIES,4191396.11,7346266.64,4
HAWORTH,19539.20,19539.20,16
HEMMERA ENVIROCHEM,31579.56,71651.25,6
HENSOLTD SENSORS,5677586.46,5677586.46,2
HERCULES SLR,28896.72,28896.72,14
HERITAGE RESTORATION,1049487.50,1264738.37,1
HEWLETT PACKARD,279859.43,302472.75,19
HEXAGON,162738.75,162738.75,28
HFI PYROTECHNICS,1975507.40,1975507.40,14
HIGHLANDS FUEL DELIVERY,71026.11,82203.02,114
HITACHI DATA SYSTEMS,87813.72,89409.65,5
HITRAC,382722.06,346403.53,16
HOLLAND COLLEGE,20281.72,20281.72,2
HONEYWELL,1368752.62,1370895.48,14
HORIZANT,58697.85,58697.85,1
HOSKIN SCIENTIFIC,54645.41,53222.52,34
HOULE ELECTRIC,136031.73,137823.12,30
HUBSPOKE,418449.29,703337.90,10
HUMAN LOGISTICS,755013.09,798138.09,6
HUMANSYSTEMS,1817844.49,1817844.49,8
HYPERTEC,218181.84,220524.49,193
I M P GROUP,184000000.00,2251378004.04,1
I4C INFORMATION TECHNOLOGY,160460.56,160460.56,2
IBISKA TELECOM,1116181.75,1691732.71,65
IBM CANADA,1234092.92,4605721.77,56
ICEBERG NETWORKS,23956.00,23956.00,1
IDP GROUP,5644950.03,5644950.03,1
IDS SYSTEMS CONSULTANTS,1700006.30,1857048.05,2
IFATHOM,31150.71,31150.71,2
IHS GLOBAL,235569.11,237021.97,7
IIC TECHNOLOGIES,138600.00,138600.00,1
ILLUMINA CANADA,44177.69,44177.69,4
IMP GROUP,780726.36,994837.48,10
IMPERIAL CLEANERS,266288.03,689700.36,66
IMPERIAL OIL,175215.29,169952.98,880
INDAL TECHNOLOGIES,494039.92,494014.08,37
INDUSTRA CONSTRUCTION,1100814.61,1105646.88,12
INDUSTRIES OCEAN,101774247.00,98800676.21,1
INFO TECH RESEARCH GROUP,80142.01,80142.01,5
INSA,104099.09,114708.24,10
INSTITUT NATIONAL D OPTIQUE,607552.93,610051.72,9
INSTRUX MEDIA,74999.99,74999.99,1
INTEGRA NETWORKS,125812.89,114561.54,50
INTEGRATED DISTRIBUTION SYSTEMS,2687073.56,2687073.56,4
INTER MEDICO,779585.86,1533730.96,2
INTER OUTAOUAIS,1916209.08,1916209.08,14
INTERACTIVE AUDIO VISUAL,63452.15,63452.15,34
INTERCON MARINE,12265.05,14515.92,3
INTERNATIONAL CUSTOM PRODUCTS ICP,5731360.00,5731360.00,1
INTERNATIONAL REPORTING,90435.31,94236.35,5
INTERNATIONAL SAFETY RESEARCH,1078504.51,1271397.88,13
IPSOS,19995.00,19995.00,1
IPSS,1518201.31,1456451.34,44
IRON MOUNTAIN,71637.28,71637.28,8
IRONCLAD EARTHWORKS,163344.24,163344.24,5
IRVING OIL,189206.67,168036.95,866
IRVING SHIPBUILDING,469770625.95,740883160.55,8
ISLAND CATERING,335082.72,1114642.72,5
IT NET CONSULTANTS,1967448.98,2807900.31,7
ITEX,123578.33,128082.70,326
J J TRAILERS MANUFACTURERS AND SALES,437750.50,459400.83,7
J L RICHARDS ASSOCIATES,35222.63,45093.49,13
JANKEL TACTICAL SYSTEMS,278882.30,284418.81,4
JASCO APPLIED SCIENCES CANADA,417159.33,189150.00,3
JASTRAM ENGINEERING,2183811.00,2183811.00,2
JHT DEFENSE,41560.51,41692.88,382
JIM PATTISON INDUSTRIES,14357.67,14357.67,1
JOHN WILEY SONS,62321.99,60170.70,8
JOHNSON CONTROLS CANADA,929125.12,973549.20,15
JONELJIM CONCRETE CONSTRUCTION,24277.46,24277.46,6
JOSEPH ELIE,110279.24,110279.24,2
JOWA FAHRZEUGTEILE VERTRIEBS,1749830.23,1752246.82,13
JP2G CONSULTANTS,80875.14,115432.86,69
JSK NAVAL SUPPORT,132149.54,133647.02,65
K RITE CONSTRUCTION,302667.53,302667.53,3
KENN BOREK AIR,26339.48,26339.48,5
KEYSIGHT TECHNOLOGIES CANADA,80372.18,81199.61,40
KEYSTONE SUPPLIES INTERNATIONAL,36842.78,36842.78,3
KF AEROSPACE,356913177.40,355909408.79,5
KIA CANADA,83897.33,83897.33,28
KINETIC CONSTRUCTION,1181892.43,1615649.84,16
KMS INDUSTRIES,213346.70,213346.70,3
KNAPPETT INDUSTRIES,3953413.29,4463854.91,11
KODIAK GROUP HOLDINGS,7615643.33,6248969.00,3
KONE,30639.81,51326.18,10
KONGSBERG,7996578.68,7996578.68,3
KONICA MINOLTA BUSINESS SOLUTIONS,27553.36,28507.98,97
KPMG,2624657.82,2850060.60,13
KRAUSS MAFFEI WEGMANN,1422027.79,1095437.29,27
KUBOTA CANADA,364250.30,364250.30,11
KUDLIK CONSTRUCTION,480727.70,480727.70,1
L P ROYER,7242490.94,4970605.94,2
L3HARRIS,5395009.19,7898982.33,190
LANGUAGE RESEARCH DEVELOPMENT GROUP,583063.00,583063.00,1
LANNICK CONTRACT SOLUTIONS,21064.87,32543.21,3
LANSDOWNE TECHNOLOGIES,142841.01,232459.75,17
LARRY PENNER ENTERPRISES,28520.75,28520.75,108
LAURENTIAN TECHNOLOGIES,514471.31,509673.61,32
LAVAL FORTIN,25525.94,25525.94,2
LAZY H TRAIL COMPANY,3315734.17,3204477.21,3
LEEWAY YACHTS,4551831.53,4551831.53,2
LEO PISCES SERVICES GROUP,148379.61,188560.56,8
LEONARDO,5557844.06,4882815.72,31
LES ENTREPRISES FERVEL,2136295.67,4204053.41,3
LES HUILES DESROCHES,54670.75,54753.31,208
LEVITT SAFETY,147990.72,305171.08,60
LEXISNEXIS CANADA,27887.27,27887.27,6
LIEBHERR CANADA,1481547.36,1481547.36,4
LIFE TECHNOLOGIES,46092.31,46097.27,29
LIFTKING MANUFACTURING,261776.51,361795.50,19
LLOYD S REGISTER CANADA,9833497.47,27023497.64,2
LOCATION DE MOTONEIGES HAUTE MATAWINIE,1182620.51,1182620.51,6
LOCKHEED MARTIN,65233585.70,79594190.53,39
LOGISTIK UNICORP,1548811.74,491411.94,169
LOWE MARTIN COMPANY,30948.97,30457.44,8
LRO STAFFING,44677.83,64560.43,9
LUMINA IT,209398.03,262456.03,5
LUXTON CONSTRUCTION,935407.50,919766.12,4
LYNLEY CONTRACTING SERVICES,269922.02,270235.92,48
M D CHARLTON,137294.63,137294.63,41
M SULLIVAN SON,8425211.43,8425211.43,3
MACDONALD DETTWILER AND ASSOCIATES,750602.90,780459.57,391
MACEWEN PETROLEUM,70353.27,70198.04,219
MACK TRUCKS,140936590.95,148146768.38,6
MACKINNON AND OLDING,96934.19,98116.36,294
MAGELLAN AEROSPACE,5511338.15,5462213.99,12
MAKWA RESOURCING,108871.60,122888.04,7
MAN ENERGY SOLUTIONS CANADA,10678601.02,12345267.68,3
MANITEX LIFTKING,1603240.98,1510043.36,8
MANITOBA HYDRO,127584.53,127584.53,44
MANPOWER SERVICES CANADA,36189.14,36683.20,8
MAPLESOFT CONSULTING,243280.04,419514.26,7
MARINE RECYCLING,6438298.00,6438298.00,3
MARITIME FENCE,78653.70,78653.70,20
MARITIME FUELS,34946.17,38250.54,226
MARKLAND PAVING,12118389.00,12118389.00,1
MARTEC,435485.03,632088.87,25
MAVERIN,174225.42,169439.01,3
MAXIM 2000,15229500.00,15229500.00,2
MAXSYS STAFFING AND CONSULTING,126918.78,152357.36,43
MCCOLMAN SONS DEMOLITION,845880.40,846672.73,5
MCELHANNEY ASSOCIATES,132376.25,132376.25,2
MCKESSON CANADA,13933.35,13953.86,176
MCKINSEY AND COMPANY,1831062.88,1831062.88,6
MCW CUSTOM ENERGY SOLUTIONS,5895768.69,6461987.25,6
MDOS CONSULTING,1239497.00,1239497.00,2
MEAL KIT SUPPLY CANADA,1959288.12,2336091.50,8
MED ENG HOLDINGS,1057159.76,1056774.34,14
MEDAVIE,5072716.70,8767053.70,2
MEDIA Q,101700.00,101700.00,1
MEGA TECH,19324.71,19324.71,7
MEGALEXIS COMMUNICATIONS,15242.55,15242.55,1
MEGGITT,4438590.84,3601496.00,13
MERCEDES BENZ CANADA,197839.73,197839.73,100
MERCURY MARINE,308256.21,308256.21,7
MERIDIAN MEDICAL TECHNOLOGIES,601971.59,2148880.02,4
MESSA COMPUTING,250911.56,226119.35,8
METALCRAFT MARINE,16389496.50,11300925.00,2
METOCEAN TELEMATICS,158976.00,158976.00,1
MGIS,253308.68,384025.81,10
MICHAEL WAGER CONSULTING,1075049.40,1652204.17,26
MICHELIN,149329.28,149306.35,35
MICRONOSTYX,22148.00,46986.00,1
MICROSOFT CANADA,780869.82,898661.17,51
MID VALLEY CONSTRUCTION,515625.46,515625.46,36
MILLBROOK TACTICAL,116034.78,116050.06,53
MILLER PAVING,4465093.58,4471446.07,6
MINDWIRE SYSTEMS,2141177.65,2300012.32,13
MISHKUMI TECHNOLOGIES,62658.23,62657.18,65
MITSUBISHI MOTOR SALES,153826.84,153826.84,13
MLS OVERSEAS,93713.66,98023.58,463
MNP,75609.88,81130.74,14
MOBILE RESOURCE GROUP,135819.67,142678.56,11
MOBILE VALVE,339937.18,339937.18,55
MOBILITY LAB,234609.35,246247.78,33
MODIS CANADA,2019189.14,3194633.80,43
MOMENTUM SOLUTIONS,1227487.88,1258297.49,39
MORGAN ADVANCED MATERIALS COMPOSITES AND DEFENCE SYSTEMS,9450000.00,9450000.00,1
MORNEAU SHEPELL,34000.00,34000.00,1
MORPHO CANADA,2281000.00,2281000.00,1
MORRISON HERSHFIELD,25290.00,29265.00,1
MOTOR COACH INDUSTRIES,3307834.37,3291120.70,3
MOTOROLA SOLUTIONS CANADA,212018.10,212717.18,211
MTS ALLSTREAM,18305.28,44212.10,2
MULTINATIONAL LOGISTIC SERVICES,73925.52,74040.74,76
MUSTANG SURVIVAL,174266.27,174266.27,35
MWCO,2457709.55,2270934.60,6
N P A,31333.63,31333.63,4
"NANOMETRICS",28738.50,28738.50,1
"NASITTUQ",172439240.86,178379162.99,4
"NATCO PHARMA CANADA",3452578.52,3452578.52,2
