d_vendor_name,mean_amendment_increase_percentage,n
ECOLE DE LANGUES ABCE,0.8927,6
ECOLE DE LANGUES LA CITE,0.3984,24
ELBIT SYSTEMS,0.3068,1
ELLISDON,0.1925,3
EMCON SERVICES,0.3523,20
EMERGENCY MEDICAL TECHNOLOGY,0.6849,1
EMERGENT BIOSOLUTIONS,0.6126,2
EMMONS MITCHELL CONSTRUCTION,0.4481,9
EMPOWERED NETWORKS,0.1714,2
EMS TECHNOLOGIES,0.7737,2
ENGLOBE,0.2475,25
ENMAX,0.1139,12
ENTRUST,2,1
ENVIROSAFE JANITORIAL,0.1305,5
ERNST YOUNG,0.9847,15
ESRI,0.1874,3
EVOLVECOMP CONSTRUCTION,0.4915,1
EVRIPOS JANITORIAL SERVICES,0.8499,1
EXCEL 7,0,1
EXCEL HUMAN RESOURCES,0.9209,63
EXP SERVICES,1.6167,3
EXXONMOBIL,0.1295,2
F M INSTALLATIONS,0.0185,2
FARMER CONSTRUCTION,0.146,15
FAST FORWARD FRENCH,0.1492,8
FCA CANADA,7e-4,14
FEDERAL FLEET SERVICES,0.1139,1
FELIX TECHNOLOGY,1.1759,15
FFG,0.7529,12
FLEETWAY,2.0292,6
FLIGHTSAFETY CANADA,0,1
FMC PROFESSIONALS,2.0476,4
FN HERSTAL,0.2315,2
FORD MOTOR COMPANY,0,30
FORT GARRY FIRE TRUCK,0.3586,2
FRANCIS CANADA TRUCK CENTRE,0,1
FRECON CONSTRUCTION,0.1103,6
FREQUENTIS CANADA,1.1174,1
FRESENIUS KABI CANADA,0,1
GAB INDUSPAC,0.1444,3
GAMBLE TECHNOLOGIES,0.0482,2
GAP WIRELESS,-0.6694,1
GARTNER,1.1276,9
GATEWAY MECHANICAL SERVICES,0.1463,3
GC STRATEGIES,4.3361,2
GDI SERVICES,1.7237,7
GEMTEC,0.475,4
GEN MEC ACL,0,1
GENERAL DYNAMICS,0.9818,30
GENERAL ELECTRIC CANADA,0.3538,3
GENERAL MOTORS,0,10
GENESIS INTEGRATION,0.1787,8
GEOSPECTRUM TECHNOLOGIES,-0.2645,2
GETINGE CANADA,0,1
GFL ENVIRONMENTAL,1.7716,4
GILMORE REPRODUCTIONS,-7e-4,2
GLOBAL KNOWLEDGE,0.0763,4
GLOBAL UPHOLSTERY,4e-4,2
GOLDER ASSOCIATES,3.7183,18
GORDON BARR,0.0054,6
GRAND TOY,-0.0107,3
GRAYBRIDGE INTERNATIONAL CONSULTING,0.3424,16
GROUPE ENERGIE BDL,0.0341,3
GUNTER LANGKOPF MASCHINENBAU,-0.0279,15
H H CONSTRUCTION,0.4949,8
HARNOIS ENERGIES,-0.0322,5
HARRIS TRANSPORT,0.0279,19
HAWBOLDT INDUSTRIES,0.8968,2
HEMMERA ENVIROCHEM,3.6602,3
HERCULES SLR,0,1
HERITAGE RESTORATION,0.2051,1
HEWLETT PACKARD,0.976,5
HIGHLANDS FUEL DELIVERY,0.3183,9
HITACHI DATA SYSTEMS,0.1631,1
HITRAC,-0.898,1
HONEYWELL,0.5,2
HOSKIN SCIENTIFIC,-0.5,1
HOULE ELECTRIC,0.0204,6
HUBSPOKE,1.251,7
HUMAN LOGISTICS,0.0509,2
HYPERTEC,0.252,41
IBISKA TELECOM,1.2232,32
IBM CANADA,7.3485,13
IDS SYSTEMS CONSULTANTS,0.3333,1
IHS GLOBAL,0.04,1
IMPERIAL CLEANERS,1.9286,12
IMPERIAL OIL,-0.3441,3
INDAL TECHNOLOGIES,-0.0168,2
INDUSTRA CONSTRUCTION,0.1026,6
INDUSTRIES OCEAN,-0.0292,1
INSA,0.7806,1
INSTITUT NATIONAL D OPTIQUE,0.2308,1
INTEGRA NETWORKS,-0.1401,10
INTEGRATED DISTRIBUTION SYSTEMS,0,1
INTER MEDICO,0.7328,2
INTERACTIVE AUDIO VISUAL,0,1
INTERCON MARINE,0.6496,1
INTERNATIONAL SAFETY RESEARCH,0.7736,5
IPSS,-0.1751,6
IRVING OIL,-0.3097,29
IRVING SHIPBUILDING,9.7643,4
ISLAND CATERING,2.4361,1
IT NET CONSULTANTS,1.4729,2
ITEX,0.2211,49
J J TRAILERS MANUFACTURERS AND SALES,1.0322,1
J L RICHARDS ASSOCIATES,0.398,11
JANKEL TACTICAL SYSTEMS,-0.0089,1
JASCO APPLIED SCIENCES CANADA,-0.9842,1
JHT DEFENSE,0.1377,19
JOHN WILEY SONS,0.0234,3
JOHNSON CONTROLS CANADA,0.0418,3
JOWA FAHRZEUGTEILE VERTRIEBS,0.0115,3
JP2G CONSULTANTS,2.2336,23
JSK NAVAL SUPPORT,1.0278,2
KEYSIGHT TECHNOLOGIES CANADA,0.1272,4
KF AEROSPACE,0.5386,2
KIA CANADA,0,7
KINETIC CONSTRUCTION,31.6871,7
KNAPPETT INDUSTRIES,1.1421,3
KODIAK GROUP HOLDINGS,-0.9727,1
KONE,1.5732,2
KONICA MINOLTA BUSINESS SOLUTIONS,0,12
KPMG,1.7671,3
KRAUSS MAFFEI WEGMANN,-0.1151,9
L P ROYER,-0.6055,1
L3HARRIS,0.5423,25
LANNICK CONTRACT SOLUTIONS,1.198,1
LANSDOWNE TECHNOLOGIES,0.9834,8
LAURENTIAN TECHNOLOGIES,-0.0623,11
LAZY H TRAIL COMPANY,0.4993,2
LEO PISCES SERVICES GROUP,0.9991,2
LEONARDO,-0.2832,3
LES ENTREPRISES FERVEL,1.2537,3
LES HUILES DESROCHES,0.0606,9
LEVITT SAFETY,1.3719,2
LIFE TECHNOLOGIES,8e-4,3
LIFTKING MANUFACTURING,0.7778,2
LLOYD S REGISTER CANADA,1.7495,1
LOCKHEED MARTIN,1.4924,8
LOGISTIK UNICORP,0.3004,10
LOWE MARTIN COMPANY,-0.0961,1
LRO STAFFING,2.5569,4
LUMINA IT,0.4989,2
LUXTON CONSTRUCTION,0.0469,2
LYNLEY CONTRACTING SERVICES,0.4181,7
MACDONALD DETTWILER AND ASSOCIATES,0.0931,26
MACEWEN PETROLEUM,-0.1339,3
MACK TRUCKS,0.055,1
MACKINNON AND OLDING,1.7171,13
MAGELLAN AEROSPACE,16.0826,2
MAKWA RESOURCING,0.457,2
MAN ENERGY SOLUTIONS CANADA,0.1562,1
MANITEX LIFTKING,-0.2538,1
MANPOWER SERVICES CANADA,0.1576,2
MAPLESOFT CONSULTING,0.8494,5
MARITIME FENCE,0,1
MARITIME FUELS,0.8495,7
MARTEC,1.9363,5
MAVERIN,-0.0507,1
MAXSYS STAFFING AND CONSULTING,0.6017,20
MCCOLMAN SONS DEMOLITION,0.1811,2
MCKESSON CANADA,0.0878,4
MCKINSEY AND COMPANY,0,1
MCW CUSTOM ENERGY SOLUTIONS,12.0529,3
MEAL KIT SUPPLY CANADA,1.735,1
MED ENG HOLDINGS,0,1
MEDAVIE,1.0667,1
MEGGITT,-0.1983,2
MERIDIAN MEDICAL TECHNOLOGIES,1.6071,3
MESSA COMPUTING,0.045,4
METALCRAFT MARINE,-0.9314,1
MGIS,1.7445,5
MICHAEL WAGER CONSULTING,1.233,15
MICHELIN,-0.0361,2
MICRONOSTYX,1.1215,1
MICROSOFT CANADA,2.5861,5
MILLBROOK TACTICAL,0.0117,2
MILLER PAVING,0.1324,1
MINDWIRE SYSTEMS,0.7235,6
MISHKUMI TECHNOLOGIES,-0.0044,14
MITSUBISHI MOTOR SALES,0,1
MLS OVERSEAS,0.1763,154
MNP,0.8571,1
MOBILE RESOURCE GROUP,1.2235,1
MOBILITY LAB,20.676,1
MODIS CANADA,1.5778,26
MOMENTUM SOLUTIONS,0.1238,6
MORRISON HERSHFIELD,0.1572,1
MOTOR COACH INDUSTRIES,-0.6273,1
MOTOROLA SOLUTIONS CANADA,0.0303,19
MTS ALLSTREAM,2.0909,1
MULTINATIONAL LOGISTIC SERVICES,0.1151,11
MWCO,0.5024,2
"NASITTUQ",-0.9779,1
"NATIONAL TEST PILOT SCHOOL",2,2
"NATO SEASPARROW SURFACE MISSILE SYSTEM PROJECT",-0.0868,6
"NAV CANADA",0.8073,5
"NAVAMAR",0.0077,1
"NAVPOINT CONSULTING GROUP",0.3213,2
NELSON ENVIRONMENTAL REMEDIATION,1.1524,2
NEPTUNE SECURITY SERVICES,0.0285,4
NEWFOUND RECRUITING,0.8903,3
NEXTER SYSTEMS,0.1958,1
NISHA TECHONOLOGIES,0.1506,166
NISSAN CANADA,0,1
NOKIA CANADA,1.0234,1
NORR,1.1641,2
NORTH BAY HYDRO,0.3183,1
NORTHERN MICRO,0.4744,191
NORTHROP GRUMMAN,1.2951,4
NOTRA,-0.4421,3
NOVA NETWORKS,0.1997,6
NOVA SCOTIA POWER,-0.1057,5
NU VIEW HOMES,1.8585,1
NUMBER TEN ARCHITECTURAL GROUP,2.6331,6
ONX ENTERPRISE SOLUTIONS,0.0168,7
OPENFRAME TECHNOLOGIES,1.2581,8
OPENTEXT,1.9124,2
OPSIS,0.3884,2
ORANGUTECH,1.1564,1
OTIS ELEVATOR,-0.9134,1
PACIFIC INDUSTRIAL MARINE,0.1821,1
PAL AEROSPACE,0,1
PALADIN GROUP,3.3401,3
PARKLAND REFINING,-0.0365,2
PATLON AIRCRAFT INDUSTRIES,0.8774,9
PATTISON SIGN GROUP,0.0775,1
PCL CONSTRUCTORS,0.15,1
PEERLESS GARMENTS,0.0418,3
PENNANT CANADA,-0.0685,2
PENNECON,1.3913,1
PEPCO,-0.1977,5
PERSISTENT SYSTEMS,0.6,1
PETRO AIR SERVICES,4.1333,1
PETROVALUE PRODUCTS,0,1
PHASELOCK SYSTEMS INTERNATIONAL,0,1
PLEIAD CANADA,0.512,3
PODOLINSKY EQUIPMENT,0,1
PRECISIONIT,1.1775,4
PRICEWATERHOUSE COOPERS,2.7629,9
PRIMEX PROJECT MANAGEMENT,2.4358,6
PRINTERS PLUS,0.0192,6
PROCOM CONSULTANTS,0.8118,11
PROLOGIC SYSTEMS,8.1053,1
PROMAXIS,1.1866,88
PROQUEST,-0.0248,4
PROTAK CONSULTING GROUP,0.2951,9
PURELOGIC,0.2441,17
PURESPIRIT SOLUTIONS,0.0351,19
QINETIQ,1.6253,4
QM ENVIRONMENTAL,0.4868,1
QMR,0.2184,12
QUAD PRO CONSTRUCTION,0.4425,1
QUANTUM MANAGEMENT SERVICES,0.2461,9
QUEEN S UNIVERSITY,1,1
QUINAN CONSTRUCTION,0.0213,1
QUINTET CONSULTING,0.1694,5
RACEROCKS 3D,22.9923,1
RADIATION SOLUTIONS,0.6882,1
RAMPART INTERNATIONAL,0.5933,2
RANDSTAD,0.5355,16
RAYTHEON,4.4241,7
REPUBLIC ARCHITECTURE,1.2681,25
REVISION MILITARY,0.4192,2
RGT CLOUTHIER CONSTRUCTION,0.1274,9
RHEINMETALL,0.6594,18
RICOH,0.04,23
RIGHTWAY SANITATION SERVICES,0.0039,2
ROBERTSON MARTIN ARCHITECTS,4.9938,2
ROCKWELL COLLINS CANADA,0,1
ROHDE SCHWARZ CANADA,-0.0197,1
ROLLING TIDES CONSTRUCTION,0.0914,2
ROOF TILE MANAGEMENT,0.8907,1
ROSBOROUGH BOATS,0.0471,1
RUSSEL METALS,0.0411,2
SAAB,-0.2132,5
SABA SOFTWARE,34.9634,1
SAMSON ASSOCIES,1,1
SANEXEN SERVICES ENVIRONMENTAUX,0.4246,3
SANTE MONTFORT,0.4089,1
SAP,1.3805,4
SAPPER LABS CYBER SOLUTIONS,0.0737,1
SAS INSTITUTE,0.0667,1
SCA SHIPPING CONSULTANTS ASSOCIATED,0.154,67
SEASPAN VICTORIA SHIPYARDS,9.1888,2
SELECT GLOBAL INTERNATIONAL,0.455,1
SERCO,0.0021,1
SERVICE STAR BUILDING CLEANING,0.0095,8
SETANTA CONTRACTING,0.1289,21
SHARP ELECTRONICS,0,1
SHELL CANADA PRODUCTS,-0.4284,39
SI SYSTEMS,1.0324,19
SIEMENS,0.0572,3
SIERRA SYSTEMS GROUP,1.0241,3
SIKORSKY AIRCRAFT,-0.2759,1
SIMEX DEFENCE,0.1338,33
SIMO MANAGEMENT,0.2244,4
SIMPLEX GRINNELL,0.964,1
SLR CONSULTING CANADA,3.0092,7
SMITHS DETECTION,0.7019,2
SNC LAVALIN,1.3224,41
SOFTCHOICE,0.6609,9
SOFTSIM TECHNOLOGIES,0.7865,15
SOMOS,-0.053900000000000003,13
ST JOSEPH PRINT GROUP,0.0926,3
STANLEY CONSTRUCTION,0.0897,4
STANTEC,0.8683,69
STERLING FUELS,0,2
STIFF SENTENCES,0.25,1
STONEWORKS TECHNOLOGIES,0,20
STRONG BROS GENERAL CONTRACTING,0.7477,10
SUBARU CANADA,0,4
SUN LIFE ASSURANCE COMPANY,-0.0213,2
SUNCOR ENERGY,-0.0938,7
SUTHERLAND EXCAVATING,2,1
SYNERSOLUTIONS TECHNOLOGIES,0,1
SYSTEMATIX SOLUTIONS,0.6503,2
SYSTEMS FOR RESEARCH,0.1827,1
SYSTEMSCOPE,0.13,1
TACS,0.0881,5
TAG HR,1.273,12
TANKATEK,0,2
TAURUS CONTRACTORS,0,2
TECHNO FEU,0.4396,3
TEKNION,0,1
TELECOM COMPUTER SERVICES,0.1037,19
TELECOMMUNICATION SUPPORT SERVICES,1.875,1
TELEDYNE,1.1236,1
TELEPHONICS,-0.2558,2
TELESAT,-0.0634,3
TELUS CANADA,0.6361,3
TENAQUIP,0.0294,6
TERAMACH TECHNOLOGIES,0.0411,8
TES CONTRACT SERVICES,2.8509,2
TESTFORCE SYSTEMS,0.5402,4
THALES,0.7713,13
THE AIM GROUP,1.2077,11
THE BOEING COMPANY,0.1809,2
THE HALIFAX COMPUTER CONSULTING GROUP,0.775,3
THE HALIFAX GROUP,-0.5,1
THE MATHWORKS,1.0233,4
THE RIGHT DOOR CONSULTING,0.6849,10
THE STEVENS COMPANY,1.869,1
THE VCAN GROUP,2.8991,2
THERMO FISHER SCIENTIFIC,0.0481,8
THOMAS SCHMIDT,1.0386,6
THOMSON REUTERS,0.9194,2
THYSSENKRUPP ELEVATOR,0.294,5
TITAN AEX,2.0963,2
TOP ACES,0.1428,33
TOROMONT,0.075,2
TOSHIBA CANADA,-0.058,4
TOYOTA,0,10
TPG TECHNOLOGY CONSULTANTS,0.1499,2
TRAINOR MECHANICAL CONTRACTORS,0.0419,1
TRM TECHNOLOGIES,1.575,5
TROY LIFE FIRE SAFETY,0.2139,3
TULMAR SAFETY SYSTEMS,0.1892,3
TUNDRA TECHNICAL SOLUTIONS,1.351,2
TURNER TOWNSEND,0.7938,1
TURTLE ISLAND STAFFING,0.8053,23
TYCO INTEGRATED FIRE SECURITY,-0.1901,3
TYR TACTICAL,0.6499,5
ULTIMATE CONSTRUCTION,0.0282,4
ULTRA ELECTRONICS,0.1408,3
UNISOURCE,0.017,7
UNISYS CANADA,0.5202,1
UNITED RENTALS OF CANADA,0.3649,3
UNITED STATES DEPARTMENT OF THE AIR FORCE,5.1395,6
UNITED STATES DEPARTMENT OF THE ARMY,0.4489,12
UNITED STATES DEPARTMENT OF THE NAVY,-0.0434,10
UNIVERSITE LAVAL,0.2094,3
UNIVERSITY OF GUELPH,0,1
UNIVERSITY OF NEW BRUNSWICK,0.656,3
UNIVERSITY OF OTTAWA,-0.3863,3
UNIVERSITY OF TORONTO,1.2936,2
UTILITIES KINGSTON,0.0372,34
VALARD CONSTRUCTION,0.0924,2
VALCOM CONSULTING,1.2236,91
VALUE MASTER BUILDERS,-0.3244,2
VAN KAPPEL INTERNATIONAL,0.1106,4
VANCOUVER SHIPYARDS,0.481,5
VCI CONTROLS,0.3028,9
VERITAAQ TECHNOLOGY HOUSE,0.2692,4
VISIONTEC,0.9055,1
VMWARE,2.9917,1
W S MORGAN CONSTRUCTION,0.1202,2
WADE GENERAL CONTRACTING,0.1564,4
WAHL CONSTRUCTION,0.6678,16
WAJAX,-0.0186,7
WARTSILA,0.1333,4
WASTE CONNECTIONS OF CANADA,-0.0613,12
WASTE MANAGEMENT OF CANADA,-0.005,13
WEBSTER ELECTRIC,0.0697,12
WEIR CANADA,2.8862,1
WESCO DISTRIBUTION CANADA,0,2
WESTBURY NATIONAL SHOW SYSTEMS,-0,5
WESTOWER COMMUNICATIONS,0.0832,1
WORLD FUEL SERVICES,-0.1202,20
WSP,6.7161,10
XEROX,0.2028,45
XTECH EXPLOSIVE DECONTAMINATION,0.8708,2
YAMNUSKA,1.8095,3
ZERNAM ENTERPRISE,0.7746,2
ZODIAC HURRICANE TECHNOLOGIES,-0.3413,2
ZOLL MEDICAL CANADA,0.751,2
ZYCOM,0.0035,4
