d_vendor_name,min_overall_value,n
DUFFERIN CONSTRUCTION COMPANY,3566131.00,1
DWP SOLUTIONS,11055049.38,2
DYMECH ENGINEERING,5688420.00,1
DYNABOOK CANADA,10663.94,16
DYNACARE,847450.00,2
DYNAMIC FACILITY SERVICES,30000.00,4
DYNAMIC PERSONNEL CONSULTANTS,12339.60,51
E CONSTRUCTION,10046.75,36
EAGLE PROFESSIONAL RESOURCES,348949.65,1
EASTPOINT ENGINEERING,11727.70,107
EASTWAY CONTRACTING,11310.78,32
EBC,166725148.00,1
EBSCO CANADA,10773.51,73
ECLIPSYS SOLUTIONS,10074.80,78
ECOLE DE LANGUES ABCE,10867.50,13
ECOLE DE LANGUES EAGLE,22099.00,11
ECOLE DE LANGUES LA CITE,10194.00,128
ECOPIA TECH,198691.66,2
EFFIGIS GEO SOLUTIONS,12430.11,3
ELBIT SYSTEMS,13342.11,12
ELITE ENVIRONMENTAL GROUP,11762.74,16
ELLICE RECYCLE,2000000.00,2
ELLISDON,113000.00,6
ELSEVIER,65632.87,6
EMCEE CONSTRUCTION AND MANAGEMENT,196414.28,5
EMCON SERVICES,12057.10,31
EMERGENCY MEDICAL TECHNOLOGY,7781660.92,1
EMERGENT BIOSOLUTIONS,309840.00,5
EMMANUEL CONSTRUCTION SERVICES,632244.00,2
EMMONS MITCHELL CONSTRUCTION,66698.25,14
EMPOWERED NETWORKS,9687.56,17
EMS TECHNOLOGIES,940898.82,2
EMTEC,16059.03,2
ENERGERE CONSULTANTS,8474999.84,1
ENGLOBE,5201.80,120
ENMAX,34786.22,65
ENTREPRISE DE CONSTRUCTION T E Q,20518800.00,1
ENTRUST,36465.55,4
ENVELOPPE CONCEPT,17889.77,1
ENVIRONICS RESEARCH GROUP,108083.00,2
ENVIROSAFE JANITORIAL,14369.25,61
ENVIROSERVICES,28058.50,1
ERNST YOUNG,11300.00,45
ESRI,10112.37,164
ESSEX INDUSTRIES,4120740.00,1
EUROVIA QUEBEC CONSTRUCTION,126728.56,1
EVALUATION PERSONNEL SELECTION,24860.00,1
EVOLUTION ROOFING,725402.75,1
EVOLVECOMP CONSTRUCTION,199572.00,9
EVRIPOS JANITORIAL SERVICES,5418967.52,1
EXCALIBUR ENVIRONMENTAL SERVICES,74140.00,8
EXCAVATION RENE ST PIERRE ENG,979667.00,1
EXCEL 7,3480500.00,2
EXCEL HUMAN RESOURCES,7179.68,163
EXIT CERTIFIED,10166.00,56
EXP SERVICES,11500.00,16
EXXONMOBIL,12493.70,1080
F M INSTALLATIONS,1259522.81,2
FACTIVA,18422.64,4
FARMER CONSTRUCTION,10000.00,195
FAST FORWARD FRENCH,7832.00,30
FAST TRACK STAFFING,30651.25,2
FASTENAL,10032.60,281
FCA CANADA,24130.05,180
FDF GROUP,10103.00,86
FEDERAL FLEET SERVICES,879115690.31,1
FELIX TECHNOLOGY,5531.04,147
FFG,10718.10,25
FIDELITY ENGINEERING CONSTRUCTION,17910.50,6
FIELD AVIATION COMPANY,12285.00,17
FINNING INTERNATIONAL,12586.93,2
FIRSTCHOICE GROUP CANADA,26696.25,8
FLEETWAY,47500.88,11
FLIGHT FUELS,10163.45,69
FLIGHTSAFETY CANADA,10048.27,4
FLYNN CANADA,122745.00,5
FMC PROFESSIONALS,101700.00,9
FN HERSTAL,12806.31,17
FORD MOTOR COMPANY,25765.95,517
FORRESTER RESEARCH,71585.00,2
FORT GARRY FIRE TRUCK,10812.51,12
FRANCIS CANADA TRUCK CENTRE,205474.68,5
FRECON CONSTRUCTION,15300.00,15
FREQUENTIS CANADA,24999.03,6
FRESENIUS KABI CANADA,172432.00,2
FSC,31490.46,1
G A L POWER SYSTEMS OTTAWA,1026687.41,1
GAB INDUSPAC,10015.06,241
GAMBLE TECHNOLOGIES,12174.62,15
GAP WIRELESS,10332.27,72
GARTNER,10316.90,123
GARY PARKER EXCAVATING,11155.00,29
GATEWAY MECHANICAL SERVICES,10200.75,32
GC STRATEGIES,38533.00,4
GDI,11134.01,15
GDI SERVICES,10087.65,56
GEMTEC,10803.00,28
GEN MEC ACL,8803620.00,1
GENERAL DYNAMICS,11444.67,306
GENERAL ELECTRIC CANADA,12248.17,26
GENERAL MOTORS,10815.11,310
GENESIS INTEGRATION,10061.73,72
GENTEX INTERNATIONAL,11778.32,15
GEORGE COUREY,10233.17,9
GEOSPECTRUM TECHNOLOGIES,15525.00,12
GETINGE CANADA,23808.33,2
GFL ENVIRONMENTAL,5750.00,66
GHD,11635.12,3
GILMORE PRINTING SERVICES,11754.26,2
GILMORE REPRODUCTIONS,21846.78,4
GLAMOX CANADA,9419656.25,1
GLOBAL KNOWLEDGE,10118.85,108
GLOBAL TOTAL OFFICE,10688.16,9
GLOBAL UPHOLSTERY,10091.55,212
GOLDER ASSOCIATES,11251.04,58
GOOGLE CANADA,15808.70,6
GORDON BARR,29490.46,8
GORDON FOOD SERVICE,8922.17,373
GOSS GILROY,37120.50,2
GOVERNMENT OF ALBERTA,2449670.99,2
GOVERNMENT OF SASKATCHEWAN,45514.37,4
GRAND TOY,10106.30,180
GRANT CUSTOM,15552.00,15
GRAPHIC OFFICE INTERIOR,2999138.88,1
GRAYBAR CANADA,10195.90,55
GRAYBRIDGE INTERNATIONAL CONSULTING,5125.73,56
GREAT SLAVE HELICOPTERS,219700.95,2
GREATER TORONTO AIRPORT AUTHORITY,31621.92,2
GREENDALE RESOURCES,16445.00,4
GREYTOP COMMERCIAL CONSTRUCTION,159289.95,4
GRIFFIN ENGINEERED SYSTEMS,21262.50,4
GROUPE ENERGIE BDL,31842.23,12
GROUPE GEYSER,45600.00,3
GROUPE ROBERT,13452.08,1
GUILLEVIN INTERNATIONAL,10011.17,100
GUNTER LANGKOPF MASCHINENBAU,10516.75,53
H E ARMSTRONG MECHANICAL,10600.70,122
H H CONSTRUCTION,11102.48,56
HALPENNY INSURANCE BROKERS,19086.60,3
HARLED,24718.75,6
HARNOIS ENERGIES,10365.58,581
HARRIS TRANSPORT,10080.00,133
HASTINGS PAINTING,422229.47,4
HATCH,11500.00,3
HAWBOLDT INDUSTRIES,258750.00,4
HAWORTH,11349.53,16
HDP GROUP,21399.38,7
HEMMERA ENVIROCHEM,20851.48,6
HENSOLTD SENSORS,12000.00,3
HEPBURN ENGINEERING,11000000.00,1
HERCULES SLR,10118.85,14
HERITAGE RESTORATION,1264738.37,1
HEROLD ENGINEERING,35323.50,3
HEWLETT PACKARD,14194.73,19
HEXAGON,10073.73,29
HFI PYRO,3232704.00,1
HFI PYROTECHNICS,21184.50,17
HIGHER STANDARD SALES HSS,2101957.30,1
HIGHLANDS FUEL DELIVERY,11685.98,17
HITACHI DATA SYSTEMS,12969.18,5
HITRAC,12137.61,16
HOLLAND COLLEGE,20190.41,2
HOME COMPLETIONS,745448.00,5
HONEYWELL,11147.08,15
HORIZANT,58697.85,1
HOSKIN SCIENTIFIC,10047.67,36
HOULE ELECTRIC,12083.75,31
HUBSPOKE,93225.00,10
HUMAN LOGISTICS,244900.00,6
HUMANSCALE CANADA,12334.99,10
HUMANSYSTEMS,77122.26,8
HYPERION CONSULTING,17491.64,19
HYPERTEC,10181.30,208
I M P GROUP,2251378004.04,1
I4C INFORMATION TECHNOLOGY,126109.13,2
IBISKA TELECOM,13035.07,67
IBM CANADA,13232.64,59
ICEBERG NETWORKS,23956.00,1
IDN CANADA,10289.27,38
IDP GROUP,5644950.03,1
IDS SYSTEMS CONSULTANTS,1256334.00,2
IFATHOM,10509.00,2
IHS GLOBAL,17543.38,7
IIC TECHNOLOGIES,138600.00,1
ILLUMINA CANADA,10368.06,4
IMP GROUP,13013.75,10
IMPERIAL CLEANERS,10260.00,68
IMPERIAL OIL,10041.82,914
INDAL TECHNOLOGIES,11367.80,37
INDUSTRA CONSTRUCTION,11840.29,13
INDUSTRIES OCEAN,98800676.21,1
INFO TECH RESEARCH GROUP,17176.00,5
INLAND AUDIO VISUAL,10335.00,59
INNOCAR,3313816.00,1
INSA,23654.38,11
INSIGHT SOFTWARE CANADA,10069.14,24
INSTITUT NATIONAL D OPTIQUE,23802.12,10
INSTITUTE ON GOVERNANCE,11000.00,6
INSTRUX MEDIA,74999.99,1
INTEGRA NETWORKS,12108.25,51
INTEGRATED DISTRIBUTION SYSTEMS,11187.00,4
INTER MEDICO,318209.13,2
INTER OUTAOUAIS,194354.35,14
INTERACTIVE AUDIO VISUAL,14215.32,34
INTERCON MARINE,11431.73,4
INTERCONTINENTAL TRUCK BODY,14653.80,2
INTERFAX SYSTEMS,11198.25,18
INTERNATIONAL CUSTOM PRODUCTS ICP,5731360.00,1
INTERNATIONAL REPORTING,19210.00,5
INTERNATIONAL SAFETY RESEARCH,10735.00,14
INVERIS TRAINING SOLUTIONS,13748.34,14
IPSOS,19995.00,1
IPSS,11894.43,44
IRON MOUNTAIN,19340.06,8
IRONCLAD EARTHWORKS,70719.21,5
IRVCON,15137.48,8
IRVING OIL,10055.96,998
IRVING SHIPBUILDING,18311.67,8
ISLAND CATERING,13535.50,5
ISLAND TEMPERATURE CONTROLS,10000.00,68
IT NET CONSULTANTS,12430.28,7
ITEX,7798.62,328
IVAN S CAMERA,10000.29,87
J J TRAILERS MANUFACTURERS AND SALES,20999.95,8
J L RICHARDS ASSOCIATES,13674.45,13
JANKEL TACTICAL SYSTEMS,39277.11,4
JASCO APPLIED SCIENCES CANADA,11003.00,6
JASTRAM ENGINEERING,1375122.00,2
JAVELIN TECHNOLOGIES,10634.40,15
JCB,61395.56,6
JHT DEFENSE,10019.17,403
JIM PATTISON INDUSTRIES,14357.67,1
JOHN WILEY SONS,13256.60,8
JOHNSON CONTROLS CANADA,11283.05,16
JONELJIM CONCRETE CONSTRUCTION,12032.45,6
JOSEPH ELIE,88478.09,2
JOWA FAHRZEUGTEILE VERTRIEBS,16635.77,13
JP2G CONSULTANTS,10963.92,71
JSK NAVAL SUPPORT,10051.69,65
JULIAN SIMON GROUP,4942620.00,1
JUNO RISK SOLUTIONS,17852.99,7
JWK CONTRACTING,13503.84,9
JWT JUNGENTHAL WEHRTECHNIK,6000000.00,1
K RITE CONSTRUCTION,100000.00,3
KENN BOREK AIR,12458.16,6
KEYSIGHT TECHNOLOGIES CANADA,10002.76,41
KEYSTONE SUPPLIES INTERNATIONAL,22062.00,3
KF AEROSPACE,170233.95,5
KIA CANADA,28249.20,28
KILEY PAVING,16742.08,3
KINETIC CONSTRUCTION,74979.00,16
KINETIC MACHINE WORKS,10500.00,5
KINGS ENTERPRISES,10033.63,83
KINGSVIEW CONSTRUCTION,841758.58,3
KLEYSEN GROUP,2591951.65,1
KMS INDUSTRIES,129514.15,3
KNAPPETT INDUSTRIES,20415.50,11
KNIGHT AEROSPACE MEDICAL SYSTEMS,3696520.42,1
KNOLL NORTH AMERICA,11060.70,4
KNOWLEDGE CIRCLE,9405.00,4
KODIAK GROUP HOLDINGS,115262.00,3
KONE,10056.40,10
KONGSBERG,2563779.00,3
KONICA MINOLTA BUSINESS SOLUTIONS,10039.82,178
KORN FERRY CA,10452.50,1
KPMG,14125.00,14
KRAKEN ROBOTIC SYSTEMS,565000.00,1
KRAUSS MAFFEI WEGMANN,34515.28,27
KROMAR PRINTING,16096.50,6
KUBOTA CANADA,27416.00,11
KUDLIK CONSTRUCTION,480727.70,1
KURT J LESKER CANADA,12387.90,2
L P ROYER,2959970.00,2
L3 MAS,742121995.56,1
L3HARRIS,10493.78,197
LANGUAGE RESEARCH DEVELOPMENT GROUP,583063.00,1
LANNICK CONTRACT SOLUTIONS,12076.87,3
LANSDOWNE TECHNOLOGIES,15046.18,17
LARRY PENNER ENTERPRISES,10553.83,109
LAURENTIAN TECHNOLOGIES,16980.79,36
LAVAL FORTIN,14992.05,2
LAVAL LAB,22216.05,2
LAZY H TRAIL COMPANY,611940.00,3
LEAN AGILITY,23622.63,3
LEEWAY YACHTS,236767.50,2
LEIGHTON CONTRACTING,7476.40,13
LEO PISCES SERVICES GROUP,64173.30,9
LEONARDO,11171.00,35
LES ALIMENTS GUY CHICOINE,10004.69,141
LES ENQUETES HENRI,30404.27,2
LES ENTREPRISES FERVEL,1186480.00,3
LES ENTREPRISES ROBERT SANFACON,238099.00,2
LES HUILES DESROCHES,10074.87,215
LEVITT SAFETY,10605.05,62
LEXISNEXIS CANADA,11776.86,6
LIEBHERR CANADA,10145.96,4
LIFE TECHNOLOGIES,10468.50,30
LIFEPORT,2472198.12,1
LIFTKING MANUFACTURING,10213.62,19
LIMEN GROUP CONST,92150.19,5
LLOYD S REGISTER CANADA,16022.95,2
LOCATION DE MOTONEIGES HAUTE MATAWINIE,10002.83,6
LOCKHEED MARTIN,25858.00,40
LOGISTIK UNICORP,10170.04,182
LOWE MARTIN COMPANY,14080.71,9
LRO STAFFING,10495.44,9
LUMINA IT,117525.78,5
LUXTON CONSTRUCTION,189202.18,4
LUXTON CONSTRUCTION PLAINS,197000.00,9
LYNLEY CONTRACTING SERVICES,10092.68,48
M D CHARLTON,10204.00,44
M SULLIVAN SON,3199949.00,3
MACDONALD DETTWILER AND ASSOCIATES,10237.06,391
MACEWEN PETROLEUM,10032.77,237
MACK TRUCKS,430042.82,6
MACKINNON AND OLDING,10120.00,302
MAGELLAN AEROSPACE,13452.08,12
MAGNET FORENSICS,17264.07,2
MAKWA RESOURCING,66250.00,7
MALATEST,131530.59,1
MAN ENERGY SOLUTIONS CANADA,16397.30,3
MANITEX LIFTKING,10158.70,8
MANITOBA HYDRO,11365.80,44
MANPOWER SERVICES CANADA,11831.40,8
MAPLE LEAF ROPES,11426.37,8
MAPLE RIDGE MECHANICAL CONTRACTING,2769434.20,1
MAPLESOFT CONSULTING,118665.00,7
MARINE RECYCLING,961400.00,3
MARITIME FENCE,10643.25,20
MARITIME FUELS,10097.41,271
MARKLAND PAVING,12118389.00,1
MARSHALL AEROSPACE,5111952.96,1
MARTEC,17848.46,25
MAVERIN,35934.00,4
MAVERIN BUSINESS SERVICES,91304.00,15
MAXIM 2000,7947000.00,2
MAXSYS STAFFING AND CONSULTING,11538.12,43
MCCOLMAN SONS DEMOLITION,66360.00,5
MCDONALD BROS CONSTRUCTION,16058.00,4
MCELHANNEY ASSOCIATES,14752.50,2
MCGILL UNIVERSITY,18000.00,18
MCKESSON CANADA,10001.28,185
MCKINSEY AND COMPANY,24860.00,6
MCMASTER UNIVERSITY,22600.00,10
MCW CONSULTANTS,35816.64,6
MCW CUSTOM ENERGY SOLUTIONS,112500.00,6
MDOS CONSULTING,254024.00,2
MEAD AUTOMATION SOLUTIONS,16403.35,4
MEAL KIT SUPPLY CANADA,23907.24,8
MED ENG HOLDINGS,16243.50,14
MEDAVIE,3218992.17,2
MEDI SELECT,24417.04,3
MEDIA Q,101700.00,1
MEGA POWER INSTALLATIONS,10500.00,96
MEGA TECH,10957.45,7
MEGALEXIS COMMUNICATIONS,15242.55,1
MELTWATER,24860.00,1
MERCEDES BENZ CANADA,10410.50,101
