name,display_label
CASP AEROSPACE,CASP Aerospace
CBCI TELECOM,CBCI Telecom
CBCL,CBCL
CBRE,CBRE
CCM CONSTRUCTION,CCM Construction
CCR CONSTRUCTION,CCR Construction
CDCI RESEARCH,CDCI Research
CDW CANADA,CDW Canada
CGI,CGI
CH2M HILL CANADA,CH2M Hill Canada
CHU SAINTE JUSTINE,CHU Sainte Justine
CIMA,CIMA
CIRCLE OF EAGLES LODGE SOCIETY,Circle of Eagles Lodge Society
CLOSEREACH,CloseReach
COMMPOWER,CommPower
CONEXSYS,CONEXSYS
CONSTRUCTION LFG,Construction LFG
CONSTRUCTION RIC,Construction RIC
CONSTRUCTIONS BSL,Constructions BSL
COWATERSOGEMA,CowaterSogema
COWI NORTH AMERICA,COWI North America
CPCS TRANSCOM,CPCS Transcom
CRC CURE LABELLE,CRC Cure Labelle
CRYPTOMILL TECHNOLOGIES,CryptoMill Technologies
CSDC SYSTEMS,CSDC Systems
CTOMS,CTOMS
CWP CONSTRUCTORS,CWP Constructors
CYMI CANADA,CYMI Canada
D2L,D2L
D4IS SOLUTIONS,D4IS Solutions
DADS,DADS
DASCO EQUIPMENT,DASCO Equipment
DBC MARINE SAFETY SYSTEMS,DBC Marine Safety Systems
DCL CONSTRUCTION SERVICES,DCL Construction Services
DELOITTE AND TOUCHE,Deloitte and Touche
DEW ENGINEERING,DEW Engineering
DF BARNES SERVICES,DF Barnes Services
DHL EXPRESS CANADA,DHL Express Canada
DIAMOND AND SCHMITT ARCHITECTS,Diamond and Schmitt Architects
DLS TECHNOLOGY,DLS Technology
DNR CONSULTING GROUP,DNR Consulting Group
DRAGAGE IM,Dragage IM
DRAGAGE OCEAN DSM,Dragage Ocean DSM
DSS MARINE,DSS Marine
DST CONSULTING ENGINEERS,DST Consulting Engineers
DWP SOLUTIONS,DWP Solutions
DXB PROJECT MANAGEMENT,DXB Project Management
E D BRUNET ET ASSOCIES CANADA,E D Brunet et Associes Canada
EBC,EBC
EBSCO CANADA,EBSCO Canada
ECO TECHNOLOGIES,ECO Technologies
EMS TECHNOLOGIES,EMS Technologies
ENMAX,ENMAX
ENTREPRISE DE CONSTRUCTION T E Q,Entreprise de Construction T E Q
ENVIROSAFE JANITORIAL,EnviroSafe Janitorial
ESBE SCIENTIFIC INDUSTRIES,ESBE Scientific Industries
ESRI,ESRI
EVOLVECOMP CONSTRUCTION,EvolveComp Construction
EXP SERVICES,EXP Services
EXXONMOBIL,ExxonMobil
FCA CANADA,FCA Canada
FEAST INTERACTIVE,FEAST Interactive
FFG,FFG
FISH FOOD AND ALLIED WORKERS,Fish Food and Allied Workers
FLIGHTSAFETY CANADA,FlightSafety Canada
FLOYD S CONSTRUCTION,Floyd’s Construction
FMC PROFESSIONALS,FMC Professionals
FN HERSTAL,FN Herstal
FREEBALANCE,FreeBalance
FSC,FSC
FTI PROFESSIONAL GRADE,FTI Professional Grade
FUGRO GEOSURVEYS,Fugro GeoSurveys
FVB ENERGY,FVB Energy
G4S SECURITY SERVICES,G4S Security Services
GAB INDUSPAC,GAB Induspac
GAT INTL LOCALIZATION SERVICES,GAT International Localization Services
GAUDETTE S TRANSIT MIX,Gaudette’s Transit Mix
GC STRATEGIES,GC Strategies
GDI SERVICES,GDI Services
GEN MEC ACL,Gen Mec ACL
GEOSPECTRUM TECHNOLOGIES,GeoSpectrum Technologies
GESTION AJ,Gestion AJ
GFL ENVIRONMENTAL,GFL Environmental
GHD,GHD
GLASSHOUSE SYSTEMS,GlassHouse Systems
GLAXOSMITHKLINE,GlaxoSmithKline
GM DEVELOPPEMENT,GM Developpement
GOVERNMENT OF THE NWT,Government of the NWT
GRC ARCHITECTS,GRC Architects
GROUPE ENERGIE BDL,Groupe Energie BDL
GSI INTERNATIONAL CONSULTING,GSI International Consulting
GW REALTY,GW Realty
HASKONING UK,Haskoning UK
HERCULES SLR,Hercules SLR
HERRING CONSERVATION AND RESEARCH SOCIETY,Herring Conservation and Research Society
HFI PYROTECHNICS,HFI Pyrotechnics
HOUSE OF HOPE,House of Hope
HUBSPOKE,HubSpoke
HUMANSYSTEMS,HumanSystems
I4C INFORMATION TECHNOLOGY,I4C Information Technology
IBI GROUP ARCHITECTS CANADA,IBI Group Architects Canada
IBM CANADA,IBM Canada
ICU MEDICAL CANADA,ICU Medical Canada
IDS SYSTEMS CONSULTANTS,IDS Systems Consultants
IFATHOM,iFathom
IHS GLOBAL,IHS Global
IIC TECHNOLOGIES,IIC Technologies
IMP GROUP,IMP Group
INDIVIOR UK,Indivior UK
INSTITUT NATIONAL D OPTIQUE,Institut National D’Optique
INTERNATIONAL CUSTOM PRODUCTS ICP,International Custom Products ICP
INVENTA SALES AND PROMOTIONS,Inventa Sales and Promotions
IPSS,IPSS
ISM INFORMATION SYSTEMS MANAGEMENT,ISM Information Systems Management
IT NET CONSULTANTS,IT NET Consultants
ITEX,ITEX
IWC EXCAVATION,IWC Excavation
J J TRAILERS MANUFACTURERS AND SALES,J J Trailers Manufacturers and Sales
JASCO APPLIED SCIENCES CANADA,JASCO Applied Sciences Canada
JHT DEFENSE,JHT Defense
JJM CONSTRUCTION,JJM Construction
JOHNSON S CONSTRUCTION,Johnson’s Construction
JP2G CONSULTANTS,JP2G Consultants
KF AEROSPACE,KF Aerospace
KFN ENTERPRISES PARTNERSHIP,KFN Enterprises Partnership
KMS INDUSTRIES,KMS Industries
KONE,KONE
KPMG,KPMG
L BREAU AND SONS,L Breau and Sons
L3HARRIS,L3Harris
LARCH HALF WAY HOUSE OF SUDBURY,Larch Half Way House of Sudbury
LEC ENGINEERING CONTRACTING,LEC Engineering Contracting
LEXISNEXIS CANADA,LexisNexis Canada
LIFELABS,LifeLabs
LIFESPEAK,LifeSpeak
LIFTKING MANUFACTURING,LiftKing Manufacturing
LLOYD S REGISTER CANADA,Lloyd’s Register Canada
LRO STAFFING,LRO Staffing
LS TELCOM,LS telcom
LUMINA IT,Lumina IT
LUMINULTRA TECHNOLOGIES,LuminUltra Technologies
MACDONALD DETTWILER AND ASSOCIATES,Macdonald Dettwiler and Associates
MACEWEN PETROLEUM,MacEwen Petroleum
MACKINNON AND OLDING,MacKinnon and Olding
MACONNERIE RAINVILLE ET FRERES,Maconnerie Rainville et Freres
MAISON CROSS ROADS DE LA SOCIETE,Maison Cross Roads de la Societe
MAN ENERGY SOLUTIONS CANADA,MAN Energy Solutions Canada
MANITEX LIFTKING,Manitex LiftKing
MARINENAV,MarineNav
MAXSYS STAFFING AND CONSULTING,Maxsys Staffing and Consulting
MCAFEE INTERNATIONAL,McAfee International
MCCARTHY TETRAULT,McCarthy Tetrault
MCCOLMAN SONS DEMOLITION,McColman Sons Demolition
MCELHANNEY ASSOCIATES,McElhanney Associates
MCGREGOR GEOSCIENCE,McGregor Geoscience
MCKESSON CANADA,McKesson Canada
MCKINSEY AND COMPANY,McKinsey and Company
MCNALLY CONSTRUCTION,McNally Construction
MCW CUSTOM ENERGY SOLUTIONS,MCW Custom Energy Solutions
MDOS CONSULTING,MDOS Consulting
MEEWASINOTA CRF,Meewasinota CRF
METRO PAVING AND ROAD BUILDING,Metro Paving and Road Building
MGIS,MGIS
MINISTRY OF FINANCE,Ministry of Finance
MLS OVERSEAS,MLS Overseas
MNP,MNP
MORGAN ADVANCED MATERIALS COMPOSITES AND DEFENCE SYSTEMS,Morgan Advanced Materials Composites and Defence Systems
MTC LAW,MTC Law
MTS ALLSTREAM,MTS Allstream
MURRAYS WINDERMERE GARDENS,Murray’s Windermere Gardens
MWCO,MWCO
"NATTIQ","NATTIQ"
"NAUT MAWT TRIBAL COUNCIL",Naut’sa mawt Tribal Council
"NAV CANADA","NAV Canada"
NDL CONSTRUCTION,NDL Construction
NEWDOCK ST JOHN S DOCKYARD,Newdock St John’s Dockyard
NFOE,NFOE
NORDMEC CONSTRUCTION,NORDMEC Construction
NORR,NORR
NORTAC DEFENCE,NORTAC Defence
NRNS,NRNS
NUA OFFICE,NUA Office
NUCTECH COMPANY,NUCTECH Company
OEI KRUEGER,OEI Krueger
OKANAGAN HALFWAY HOUSE SOCIETY CRF,Okanagan Halfway House Society CRF
ONX ENTERPRISE SOLUTIONS,OnX Enterprise Solutions
OPENFRAME TECHNOLOGIES,OpenFrame Technologies
OPENTEXT,OpenText
OPSIS,OPSIS
OSI,OSI
OXFORD ECONOMICS USA,Oxford Economics USA
PAL AEROSPACE,PAL Aerospace
PALFINGER MARINE,PALFINGER Marine
PCL CONSTRUCTORS,PCL Constructors
PETROVALUE PRODUCTS,PetroValue Products
PIDHERNEY S,Pidherney’s
PMB ELECTRICAL SERVICES,PMB Electrical Services
PMG TECHNOLOGIES,PMG Technologies
PORT OF SPAIN HOLDINGS,Port of Spain Holdings
PR3 MEDIAS,PR3 Medias
PRA,PRA
PRECISION ADM,Precision ADM
PRECISIONIT,PrecisionIT
PRIMED MEDICAL PRODUCTS,PRIMED Medical Products
PRIMEX PROJECT MANAGEMENT,PRIMEX Project Management
PROQUEST,ProQuest
PURELOGIC,PureLogic
PURESPIRIT SOLUTIONS,PureSpirIT Solutions
QIAGEN,QIAGEN
QINETIQ,QinetiQ
QM ENVIRONMENTAL,QM Environmental
QMR,QMR
QUEEN S UNIVERSITY,Queen’s University
R J MACISAAC CONSTRUCTION,R J MacIsaac Construction
R2I,R2I
RACEROCKS 3D,RaceRocks 3D
REPARATIONS NAVALES ET INDUSTRIELLES OCEAN,Reparations Navales et Industrielles Ocean
RGB MEDIA,RGB Media
RGT CLOUTHIER CONSTRUCTION,RGT Clouthier Construction
RHEA,RHEA
RJG CONSTRUCTION,RJG Construction
ROSS AND ANGLIN,Ross and Anglin
ROUDEL MEDICAL AND SURGICAL,Roudel Medical and Surgical
RUSH TRUCK CENTRES OF CANADA,Rush Truck Centres of Canada
SAMSON AND ASSOCIATES,Samson and Associates
SANI SABLE LB,Sani Sable LB
SAP,SAP
SAS INSTITUTE,SAS Institute
SASKTEL,SaskTel
SCA SHIPPING CONSULTANTS ASSOCIATED,SCA Shipping Consultants Associated
SDL INTERNATIONAL CANADA,SDL International Canada
SECUREKEY TECHNOLOGIES,SecureKey Technologies
SEPW ARCHITECTURE,SEPW Architecture
SERVICES D AIDE EN PREVENTION DE LA CRIMINALITE,Services D’Aide En Prevention De La Criminalite
SGS AXYS ANALYTICAL SERVICES,SGS Axys Analytical Services
SHI CANADA,SHI Canada
SHM CANADA CONSULTING,SHM Canada Consulting
SHRMA ARCHITECTS IN JOINT VENTURE,SHRMA Architects In Joint Venture
SI SYSTEMS,SI Systems
SIGNATURE SUR LE SAINT LAURENT,Signature sur le Saint Laurent
SIMO MANAGEMENT,SIMO Management
SLR CONSULTING CANADA,SLR Consulting Canada
SNC LAVALIN,SNC Lavalin
SRA STAFFING SOLUTIONS,SRA Staffing Solutions
ST LEONARD S COMMUNITY SERVICES,St Leonard’s Community Services
ST LEONARD S SOCIETY HAMILTON,St Leonard’s Society Hamilton
ST LEONARDS HOUSE WINDSOR,St Leonard’s House Windsor
ST LEONARDS PLACE PEEL,St Leonard’s Place Peel
STERIS CANADA,STERIS Canada
SUPREMEX,SupremeX
SUSE SOFTWARE SOLUTIONS CANADA,SUSE Software Solutions Canada
SYM COMMUNICATIONS,SYM Communications
SYNERSOLUTIONS TECHNOLOGIES,SynerSolutions Technologies
SYSTEMS FOR RESEARCH,Systems for Research
TACS,TACS
TAG HR,Tag HR
TAI,TAI
TDI INTERNATIONAL,TDI International
TECHNOREM,TechnoRem
TES CONTRACT SERVICES,TES Contract Services
THE AIM GROUP,The AIM Group
THE IT BROKER,The IT Broker
THE KTL GROUP,The KTL Group
THE VCAN GROUP,The VCAN Group
THG THE HISTORY GROUP,THG the History Group
THINKON,ThinkOn
TITAN AEX,Titan AEX
TOFCON CONSTRUCTION,TOFCON Construction
TRANSTEC,TransTec
TRM TECHNOLOGIES,TRM Technologies
TSUU T INA CONTRACTING GP,Tsuut’ina Contracting GP
TYR TACTICAL,TYR Tactical
UNITED RENTALS OF CANADA,United Rentals of Canada
UNITED STATES DEPARTMENT OF DEFENCE,United States Department of Defence
UNITED STATES DEPARTMENT OF THE AIR FORCE,United States Department of the Air Force
UNITED STATES DEPARTMENT OF THE ARMY,United States Department of the Army
UNITED STATES DEPARTMENT OF THE NAVY,United States Department of the Navy
UNIVERSAL WEATHER AND AVIATION,Universal Weather and Aviation
UNIVERSITY OF ALBERTA,University of Alberta
UNIVERSITY OF BRITISH COLUMBIA,University of British Columbia
UNIVERSITY OF CALGARY,University of Calgary
UNIVERSITY OF GUELPH,University of Guelph
UNIVERSITY OF NEW BRUNSWICK,University of New Brunswick
UNIVERSITY OF OTTAWA,University of Ottawa
UNIVERSITY OF REGINA,University of Regina
UNIVERSITY OF SASKATCHEWAN,University of Saskatchewan
UNIVERSITY OF TORONTO,University of Toronto
UNIVERSITY OF WATERLOO,University of Waterloo
UNIVERSITY OF WESTERN ONTARIO,University of Western Ontario
VCI CONTROLS,VCI Controls
VFA CANADA,VFA Canada
VFS GLOBAL,VFS Global
VMWARE,VMware
VVI CONSTRUCTION,VVI Construction
VWR INTERNATIONAL,VWR International
WASTE CONNECTIONS OF CANADA,Waste Connections of Canada
WASTE MANAGEMENT OF CANADA,Waste Management of Canada
WATCHGUARD VIDEO,WatchGuard Video
WCG INTERNATIONAL CONSULTANTS,WCG International Consultants
WESCO DISTRIBUTION CANADA,WESCO Distribution Canada
WESTOWER COMMUNICATIONS,WesTower Communications
WINMAR CANADA INTERNATIONAL,WINMAR Canada International
WINTERSTEIGER,WINTERSTEIGER
WM M 1993,WM M 1993
WOODWARD S OIL,Woodward’s Oil
WORKDYNAMICS TECHNOLOGIES,WorkDynamics Technologies
WORKPLACE HEALTH AND COST SOLUTIONS,Workplace Health and Cost Solutions
WORLD UNIVERSITY SERVICE OF CANADA,World University Service of Canada
WPP GROUP CANADA COMMUNICATIONS,WPP Group Canada Communications
WSP,WSP
ZOLL MEDICAL CANADA,ZOLL Medical Canada
